donor_id,gene_symbol,probe_id,detected_sample_count,total_sample_count,detection_rate
normalized_microarray_donor10021,DGKQ,1057742,3,893,0.0033594624860022394
normalized_microarray_donor10021,DIRC1,1036088,891,893,0.9977603583426652
normalized_microarray_donor10021,DIRC1,1036089,17,893,0.019036954087346025
normalized_microarray_donor10021,DLG2,1011473,891,893,0.9977603583426652
normalized_microarray_donor10021,DLG2,1014060,840,893,0.9406494960806271
normalized_microarray_donor10021,DLG2,1015299,891,893,0.9977603583426652
normalized_microarray_donor10021,DLG2,1020078,884,893,0.9899216125419933
normalized_microarray_donor10021,DNAH17,1029339,7,893,0.007838745800671893
normalized_microarray_donor10021,DNAH17,1029340,537,893,0.6013437849944009
normalized_microarray_donor10021,DNASE1L1,1057592,494,893,0.5531914893617021
normalized_microarray_donor10021,DNASE1L1,1057593,889,893,0.9955207166853304
normalized_microarray_donor10021,DNM1L,1026402,891,893,0.9977603583426652
normalized_microarray_donor10021,DNM1L,1026403,891,893,0.9977603583426652
normalized_microarray_donor10021,DNM1L,1026404,891,893,0.9977603583426652
normalized_microarray_donor10021,DPP6,1021964,891,893,0.9977603583426652
normalized_microarray_donor10021,DPP6,1021965,891,893,0.9977603583426652
normalized_microarray_donor10021,DPP6,1021966,788,893,0.8824188129899216
normalized_microarray_donor10021,DPP6,1025983,829,893,0.9283314669652856
normalized_microarray_donor10021,DYRK1A,1026233,891,893,0.9977603583426652
normalized_microarray_donor10021,DYRK1A,1026234,885,893,0.9910414333706606
normalized_microarray_donor10021,DYRK1A,1026235,890,893,0.9966405375139977
normalized_microarray_donor10021,ELOVL7,1014431,880,893,0.9854423292273237
normalized_microarray_donor10021,ELOVL7,1017481,887,893,0.9932810750279956
normalized_microarray_donor10021,FAM171A2,1013916,448,893,0.5016797312430011
normalized_microarray_donor10021,FAM171A2,1017989,597,893,0.6685330347144457
normalized_microarray_donor10021,FAM47E,1011673,773,893,0.8656215005599104
normalized_microarray_donor10021,FAM47E,1015924,890,893,0.9966405375139977
normalized_microarray_donor10021,FASN,1057064,834,893,0.9339305711086227
normalized_microarray_donor10021,FASN,1057065,372,893,0.4165733482642777
normalized_microarray_donor10021,FBRSL1,1014256,893,893,1.0
normalized_microarray_donor10021,FBRSL1,1015696,891,893,0.9977603583426652
normalized_microarray_donor10021,FCGR2A,1019379,839,893,0.9395296752519597
normalized_microarray_donor10021,FCGR2B,1026970,52,893,0.05823068309070549
normalized_microarray_donor10021,FCGR2B,1026971,90,893,0.10078387458006718
normalized_microarray_donor10021,FCGR3B,1057035,675,893,0.7558790593505039
normalized_microarray_donor10021,FGD4,1035818,891,893,0.9977603583426652
normalized_microarray_donor10021,FGD4,1035819,5,893,0.005599104143337066
normalized_microarray_donor10021,FGD4,1064628,371,893,0.4154535274356103
normalized_microarray_donor10021,FYN,1029625,891,893,0.9977603583426652
normalized_microarray_donor10021,FYN,1029626,891,893,0.9977603583426652
normalized_microarray_donor10021,FYN,1029627,891,893,0.9977603583426652
normalized_microarray_donor10021,GAK,1056538,891,893,0.9977603583426652
normalized_microarray_donor10021,GAK,1056539,879,893,0.9843225083986562
normalized_microarray_donor10021,GALNT14,1039165,891,893,0.9977603583426652
normalized_microarray_donor10021,GALNT14,1039166,771,893,0.8633818589025756
normalized_microarray_donor10021,GALNT9,1013164,866,893,0.9697648376259799
normalized_microarray_donor10021,GALNT9,1013937,545,893,0.6103023516237402
normalized_microarray_donor10021,GALNT9,1018522,866,893,0.9697648376259799
normalized_microarray_donor10021,GALNT9,1063388,199,893,0.22284434490481522
normalized_microarray_donor10021,GBF1,1049375,891,893,0.9977603583426652
normalized_microarray_donor10021,GBF1,1049376,550,893,0.6159014557670772
normalized_microarray_donor10021,GCH1,1029868,139,893,0.15565509518477044
normalized_microarray_donor10021,GCH1,1029869,71,893,0.07950727883538634
normalized_microarray_donor10021,GCH1,1029901,620,893,0.6942889137737962
normalized_microarray_donor10021,GCH1,1030010,137,893,0.1534154535274356
normalized_microarray_donor10021,GCH1,1056474,40,893,0.04479283314669653
normalized_microarray_donor10021,GJA5,1024400,5,893,0.005599104143337066
normalized_microarray_donor10021,GJA5,1024401,78,893,0.08734602463605823
normalized_microarray_donor10021,GJA5,1056413,57,893,0.06382978723404255
normalized_microarray_donor10021,GPM6B,1023580,891,893,0.9977603583426652
normalized_microarray_donor10021,GPM6B,1056269,891,893,0.9977603583426652
normalized_microarray_donor10021,GPM6B,1056270,891,893,0.9977603583426652
normalized_microarray_donor10021,GPM6B,1056271,891,893,0.9977603583426652
normalized_microarray_donor10021,GPNMB,1024151,841,893,0.9417693169092946
normalized_microarray_donor10021,GPNMB,1024152,18,893,0.020156774916013438
normalized_microarray_donor10021,GPR65,1049669,9,893,0.010078387458006719
normalized_microarray_donor10021,GPR65,1049670,25,893,0.027995520716685332
normalized_microarray_donor10021,GPRIN3,1021672,321,893,0.3594624860022396
normalized_microarray_donor10021,GPRIN3,1021673,399,893,0.44680851063829785
normalized_microarray_donor10021,GUSBP2,1010976,891,893,0.9977603583426652
normalized_microarray_donor10021,HEATR6,1040127,875,893,0.9798432250839866
normalized_microarray_donor10021,HEATR6,1040128,851,893,0.9529675251959686
normalized_microarray_donor10021,HIP1R,1049068,891,893,0.9977603583426652
normalized_microarray_donor10021,HIP1R,1049069,892,893,0.9988801791713325
normalized_microarray_donor10021,HLA-DQA1,1018703,11,893,0.012318029115341545
normalized_microarray_donor10021,HLA-DQA1,1021190,30,893,0.0335946248600224
normalized_microarray_donor10021,HLA-DQA1,1055658,739,893,0.8275475923852184
normalized_microarray_donor10021,HLA-DQA1,1055659,831,893,0.9305711086226204
normalized_microarray_donor10021,HLA-DQA1,1055660,8,893,0.008958566629339306
normalized_microarray_donor10021,HLA-DQB1,1055654,885,893,0.9910414333706606
normalized_microarray_donor10021,HLA-DQB1,1055655,185,893,0.20716685330347145
normalized_microarray_donor10021,HLA-DRA,1055652,519,893,0.5811870100783875
normalized_microarray_donor10021,HLA-DRA,1055653,891,893,0.9977603583426652
normalized_microarray_donor10021,HLA-DRB1,1055650,891,893,0.9977603583426652
normalized_microarray_donor10021,HLA-DRB1,1055651,891,893,0.9977603583426652
normalized_microarray_donor10021,INPP5F,1046229,891,893,0.9977603583426652
