gene_symbol,number_of_probes,probe_ids
TAC1,13,1028377;1029249;1029250;1029251;1029252;1029253;1029254;1029255;1029256;1029257;1029258;1029261;1051004
TBC1D5,2,1011556;1020243
TBXAS1,3,1019912;1028035;1028036
TEKT4,3,1034403;1034404;1034405
TIAL1,3,1022190;1022191;1022192
TMEM108,3,1039492;1039493;1061880
TMEM163,2,1038292;1038293
TMEM175,2,1037692;1037693
TPM1,7,1029651;1029652;1029653;1029654;1029722;1030777;1030778
TRIM40,2,1035144;1035145
TRIM46,3,1038649;1038650;1061310
TXNDC15,2,1038974;1038975
UBAP2,2,1041521;1041522
UBQLN4,2,1041134;1041135
UBTF,2,1011311;1020229
USP50,2,1031669;1031670
USP8,2,1014451;1019894
VAMP4,3,1022872;1022873;1063422
VN1R10P,2,1037931;1037932
WDHD1,3,1024873;1024874;1067761
WDR41,2,1042082;1042083
WNT3,2,1050353;1050354
WWOX,6,1025804;1025805;1043133;1043134;1043135;1043136
XPO1,2,1050310;1050311
ZNF322,2,1039074;1039075
ZNF608,2,1025964;1025965
