probe_id,probe_name,gene_id,gene_symbol,gene_name,entrez_id,chromosome,total_detected_samples,total_samples,overall_detection_rate,valid_gene_symbol,reliable_probe
1036158,CUST_2288_PI416261804,77664,RAB42,"RAB42, member RAS oncogene family",115273.0,1,3700,3702,0.9994597514856834,True,True
1036157,A_23_P434919,77664,RAB42,"RAB42, member RAS oncogene family",115273.0,1,178,3702,0.04808211777417612,True,False
1036156,A_23_P169879,77665,SLC25A26,"solute carrier family 25 (S-adenosylmethionine carrier), member 26",115286.0,3,3291,3702,0.8889789303079416,True,True
1036155,A_24_P368544,77665,SLC25A26,"solute carrier family 25 (S-adenosylmethionine carrier), member 26",115286.0,3,2254,3702,0.608860075634792,True,True
1036154,A_32_P203500,77667,PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,115294.0,8,3698,3702,0.9989195029713668,True,True
1036153,A_24_P110967,77667,PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,115294.0,8,3700,3702,0.9994597514856834,True,True
1036152,A_32_P98435,77667,PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,115294.0,8,3531,3702,0.953808752025932,True,True
1036151,A_23_P357966,77667,PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,115294.0,8,423,3702,0.11426256077795786,True,False
1036150,CUST_5780_PI416261804,77669,GPR146,G protein-coupled receptor 146,115330.0,7,2153,3702,0.5815775256618044,True,True
1036149,A_23_P20035,77669,GPR146,G protein-coupled receptor 146,115330.0,7,3461,3702,0.9349000540248514,True,True
1036148,A_23_P103803,77671,FCRL3,Fc receptor-like 3,115352.0,1,21,3702,0.005672609400324149,True,False
1036147,A_23_P358438,77671,FCRL3,Fc receptor-like 3,115352.0,1,12,3702,0.0032414910858995136,True,False
1036146,A_24_P276791,77672,LRRC42,leucine rich repeat containing 42,115353.0,1,2202,3702,0.5948136142625607,True,True
1036145,A_23_P51278,77672,LRRC42,leucine rich repeat containing 42,115353.0,1,3697,3702,0.9986493787142086,True,True
1036144,A_23_P103496,77673,GBP4,guanylate binding protein 4,115361.0,1,3699,3702,0.9991896272285251,True,True
1036143,A_24_P45446,77673,GBP4,guanylate binding protein 4,115361.0,1,3677,3702,0.9932468935710427,True,True
1036142,CUST_9578_PI416261804,77675,LRRC56,leucine rich repeat containing 56,115399.0,11,1584,3702,0.42787682333873583,True,False
1036141,A_23_P368996,77675,LRRC56,leucine rich repeat containing 56,115399.0,11,3595,3702,0.9710967044840627,True,True
1036140,CUST_5781_PI416261804,77677,MALSU1,mitochondrial assembly of ribosomal large subunit 1,115416.0,7,3661,3702,0.98892490545651,True,True
1036139,A_23_P145817,77677,MALSU1,mitochondrial assembly of ribosomal large subunit 1,115416.0,7,3683,3702,0.9948676391139925,True,True
