structure_id,structure_acronym,structure_name,total_sample_count,number_of_donors
4155,ITG-mts,"inferior temporal gyrus, right, bank of mts",12,2
4074,PCLa-i,"paracentral lobule, anterior part, left, inferior bank of gyrus",12,6
9684,Sp5,"spinal trigeminal nucleus, right",12,2
9178,SOC,"superior olivary complex, left",12,5
4723,PV-Crus I,"Crus I, left, paravermis",11,6
4166,HG,"Heschl's gyrus, left",11,6
4720,PV-V,"V, left, paravermis",11,6
4722,PV-VI,"VI, left, paravermis",11,6
4725,PV-VIIB,"VIIB, left, paravermis",11,6
4286,BCd,"body of caudate nucleus, right",11,2
4226,CgGf-s,"cingulate gyrus, frontal part, right, superior bank of gyrus",11,2
9143,7,"facial motor nucleus, left",11,5
4296,GPi,"globus pallidus, internal segment, left",11,6
4154,ITG-l,"inferior temporal gyrus, right, lateral bank of gyrus",11,2
4379,LA,"lateral nucleus, left",11,6
4012,PrG-prc,"precentral gyrus, left, bank of the precentral sulcus",11,6
9054,RN,"red nucleus, left",11,6
4518,Sb,"subthalamic nucleus, left",11,6
4215,SOG-i,"superior occipital gyrus, left, inferior bank of gyrus",11,5
4266,CA4,"CA4 field, right",10,2
4736,He-V,"V, left, lateral hemisphere",10,4
4342,BLA,"basolateral nucleus, left",10,6
9546,10,"dorsal motor nucleus of the vagus, left",10,4
4049,GRe,"gyrus rectus, right",10,2
4284,HCd,"head of caudate nucleus, right",10,2
4090,PoG-pcs,"postcentral gyrus, left, bank of the posterior central sulcus",10,5
4301,SptN,"septal nuclei, left",10,5
4139,STG-i,"superior temporal gyrus, right, inferior bank of gyrus",10,2
4507,ZI,"zona incerta, left",10,6
4264,CA2,"CA2 field, right",9,2
4265,CA3,"CA3 field, right",9,2
4724,PV-Crus II,"Crus II, left, paravermis",9,5
4701,Ve-III,III,9,4
4719,PV-IV,"IV, left, paravermis",9,5
4728,PV-IX,"IX, left, paravermis",9,5
4726,PV-VIIIA,"VIIIA, left, paravermis",9,5
4450,DTA,"anterior group of nuclei, right",9,2
4308,nbM,"basal nucleus of meynert, left",9,4
4351,BMA,"basomedial nucleus, left",9,6
9525,CGS,central glial substance,9,4
9589,CMRt,"central medullary reticular group, left",9,4
4367,COMA,"cortico-medial group, left",9,6
4267,DG,"dentate gyrus, right",9,2
9558,12,"hypoglossal nucleus, left",9,4
4901,IRoG,"inferior rostral gyrus, left",9,5
9149,LC,"locus ceruleus, left",9,4
4444,MG,"medial geniculate complex, left",9,5
9152,MPB,"medial parabrachial nucleus, left",9,5
4172,PLT,"planum temporale, left",9,4
4093,PoG-sl,"postcentral gyrus, right, superior lateral aspect of gyrus",9,2
4260,S,"subiculum, right",9,2
4735,He-IV,"IV, left, lateral hemisphere",8,4
4703,Ve-V,V,8,4
4727,PV-VIIIB,"VIIIB, left, paravermis",8,5
9005,CGMB,"central gray substance of midbrain, right",8,2
4360,CeA,"central nucleus, left",8,6
