structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,number_of_genes
4160,FuG-cos,"fusiform gyrus, left, bank of cos",6,19,20598
4162,FuG-its,"fusiform gyrus, right, bank of the its",2,8,20598
4163,FuG-l,"fusiform gyrus, right, lateral bank of gyrus",2,5,20598
4164,FuG-cos,"fusiform gyrus, right, bank of cos",2,6,20598
4166,HG,"Heschl's gyrus, left",6,11,20598
4167,HG,"Heschl's gyrus, right",2,5,20598
4169,TG,"transverse gyri, left",5,8,20598
4170,TG,"transverse gyri, right",2,3,20598
4172,PLT,"planum temporale, left",4,9,20598
4173,PLT,"planum temporale, right",2,3,20598
4178,PLP,"planum polare, left",6,18,20598
4179,PLP,"planum polare, right",2,3,20598
4186,Cun-pest,"cuneus, left, peristriate",6,19,20598
4187,Cun-str,"cuneus, left, striate",6,16,20598
4189,Cun-pest,"cuneus, right, peristriate",2,2,20598
4190,Cun-str,"cuneus, right, striate",2,3,20598
4193,LiG-pest,"lingual gyrus, left, peristriate",6,29,20598
4194,LiG-str,"lingual gyrus, left, striate",6,25,20598
4196,LiG-pest,"lingual gyrus, right, peristriate",2,7,20598
4197,LiG-str,"lingual gyrus, right, striate",2,8,20598
4200,OTG-s,"occipito-temporal gyrus, left, superior bank of gyrus",6,17,20598
4201,OTG-i,"occipito-temporal gyrus, left, inferior bank of gyrus",6,14,20598
4203,OTG-s,"occipito-temporal gyrus, right, superior bank of gyrus",2,4,20598
4204,OTG-i,"occipito-temporal gyrus, right, inferior bank of gyrus",2,5,20598
4207,IOG-s,"inferior occipital gyrus, left, superior bank of gyrus",5,13,20598
4208,IOG-i,"inferior occipital gyrus, left, inferior bank of gyrus",5,15,20598
4210,IOG-s,"inferior occipital gyrus, right, superior bank of gyrus",1,1,20598
4211,IOG-i,"inferior occipital gyrus, right, inferior bank of gyrus",1,3,20598
4214,SOG-s,"superior occipital gyrus, left, superior bank of gyrus",6,13,20598
4215,SOG-i,"superior occipital gyrus, left, inferior bank of gyrus",5,11,20598
4217,SOG-s,"superior occipital gyrus, right, superior bank of gyrus",2,3,20598
4218,SOG-i,"superior occipital gyrus, right, inferior bank of gyrus",1,1,20598
4223,CgGf-s,"cingulate gyrus, frontal part, left, superior bank of gyrus",6,31,20598
4224,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",6,35,20598
4226,CgGf-s,"cingulate gyrus, frontal part, right, superior bank of gyrus",2,11,20598
4227,CgGf-i,"cingulate gyrus, frontal part, right, inferior bank of gyrus",2,6,20598
4230,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",6,18,20598
4231,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",5,17,20598
4233,CgGp-s,"cingulate gyrus, parietal part, right, superior bank of gyrus",2,3,20598
4234,CgGp-i,"cingulate gyrus, parietal part, right, inferior bank of gyrus",2,4,20598
4237,CgGr-s,"cingulate gyrus, retrosplenial part, left, superior bank of gyrus",3,5,20598
4238,CgGr-i,"cingulate gyrus, retrosplenial part, left, inferior bank of gyrus",3,6,20598
4240,CgGr-s,"cingulate gyrus, retrosplenial part, right, superior bank of gyrus",1,1,20598
4241,CgGr-i,"cingulate gyrus, retrosplenial part, right, inferior bank of gyrus",1,3,20598
4244,PHG-l,"parahippocampal gyrus, left, lateral bank of gyrus",6,26,20598
4245,PHG-cos,"parahippocampal gyrus, left, bank of the cos",6,20,20598
4247,PHG-l,"parahippocampal gyrus, right, lateral bank of gyrus",2,5,20598
4248,PHG-cos,"parahippocampal gyrus, right, bank of the cos",2,7,20598
4251,S,"subiculum, left",6,25,20598
4254,CA1,"CA1 field, left",6,24,20598
4255,CA2,"CA2 field, left",6,19,20598
4256,CA3,"CA3 field, left",6,21,20598
4257,CA4,"CA4 field, left",6,20,20598
4258,DG,"dentate gyrus, left",6,21,20598
4260,S,"subiculum, right",2,9,20598
4263,CA1,"CA1 field, right",2,12,20598
4264,CA2,"CA2 field, right",2,9,20598
4265,CA3,"CA3 field, right",2,9,20598
4266,CA4,"CA4 field, right",2,10,20598
4267,DG,"dentate gyrus, right",2,9,20598
4270,LIG,"long insular gyri, left",6,17,20598
4271,LIG,"long insular gyri, right",2,5,20598
4273,SIG,"short insular gyri, left",6,16,20598
4274,SIG,"short insular gyri, right",2,6,20598
4280,HCd,"head of caudate nucleus, left",6,22,20598
4281,TCd,"tail of caudate nucleus, left",6,15,20598
4282,BCd,"body of caudate nucleus, left",6,25,20598
4284,HCd,"head of caudate nucleus, right",2,10,20598
4285,TCd,"tail of caudate nucleus, right",2,8,20598
4286,BCd,"body of caudate nucleus, right",2,11,20598
4288,Pu,"putamen, left",6,48,20598
4289,Pu,"putamen, right",2,14,20598
4291,Acb,"nucleus accumbens, left",6,13,20598
4292,Acb,"nucleus accumbens, right",2,4,20598
4295,GPe,"globus pallidus, external segment, left",5,15,20598
4296,GPi,"globus pallidus, internal segment, left",6,11,20598
4298,GPe,"globus pallidus, external segment, right",2,8,20598
4299,GPi,"globus pallidus, internal segment, right",2,5,20598
4301,SptN,"septal nuclei, left",5,10,20598
