structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,parkinsons_expression_score,random_mean_score,random_standard_deviation,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05,regional_rank,sensitivity_fdr_q_all_six,sensitivity_fdr_q_all_six_significant_0_05
9520,Arc,"arcuate nucleus of medulla, left",6,18,-0.17426322,-0.23560278,0.059422914,1.0322543,0.1503849615038496,0.5733426657334266,False,137,0.4225187237373823,False
4012,PrG-prc,"precentral gyrus, left, bank of the precentral sulcus",6,11,0.010850679,-0.016114246,0.026542012,1.0159338,0.1587841215878412,0.5806150154215348,False,76,0.4225187237373823,False
4099,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",6,23,0.023652552,-0.00449679,0.02826093,0.99605155,0.1610838916108389,0.5806150154215348,False,67,0.4225187237373823,False
4142,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",6,36,0.04338573,0.017345231,0.026505025,0.982474,0.1648835116488351,0.5806150154215348,False,59,0.4225187237373823,False
4106,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",6,16,0.12491011,0.09407246,0.03143421,0.98102194,0.164983501649835,0.5806150154215348,False,38,0.4225187237373823,False
4437,ILc,"caudal group of intralaminar nuclei, left",6,7,0.7228974,0.6775052,0.049101725,0.92445254,0.1781821817818218,0.6152328163410075,False,2,0.4454554544545545,False
4135,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",6,27,0.033331815,0.008407606,0.030432362,0.81900346,0.2060793920607939,0.6640064807078614,False,62,0.47826068456984083,False
4120,Pcu-s,"precuneus, left, superior lateral bank of gyrus",6,20,0.02258037,-0.0013257832,0.029685901,0.8053032,0.2125787421257874,0.6640064807078614,False,69,0.47826068456984083,False
4045,orIFG,"inferior frontal gyrus, orbital part, left",6,18,0.044691797,0.021083137,0.029416429,0.8025672,0.2062793720627937,0.6640064807078614,False,58,0.47826068456984083,False
4542,PrOR,"preoptic region, left",6,6,-0.16806142,-0.21098648,0.054122057,0.79311585,0.2092790720927907,0.6640064807078614,False,136,0.47826068456984083,False
4143,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",6,41,0.015272307,-0.005205261,0.025856247,0.7919776,0.2140785921407859,0.6640064807078614,False,73,0.47826068456984083,False
4121,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",6,22,-0.057805106,-0.0770932,0.028128136,0.6857224,0.245975402459754,0.6940597606905976,False,105,0.5380711928807119,False
4178,PLP,"planum polare, left",6,18,0.0034504945,-0.013609,0.027351191,0.62372035,0.2651734826517348,0.6940597606905976,False,82,0.5513967833985831,False
