structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,parkinsons_expression_score,random_mean_score,random_standard_deviation,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05,regional_rank
9020,CnF,"cuneiform nucleus, left",4,7,0.09843013,0.058847595,0.051770955,0.76457024,0.22457754224577542,0.6740809789988743,False,44
9004,CGMB,"central gray substance of midbrain, left",5,18,0.084259436,0.04269886,0.048423402,0.8582746,0.19988001199880012,0.6640064807078614,False,45
9152,MPB,"medial parabrachial nucleus, left",5,9,0.07841472,0.08321809,0.04967738,-0.09669123,0.5387461253874612,0.902432484024325,False,46
4273,SIG,"short insular gyri, left",6,16,0.07501522,0.0029720142,0.029396294,2.450758,0.0072992700729927005,0.23787621237876214,False,47
4342,BLA,"basolateral nucleus, left",6,10,0.067029774,-0.012949214,0.054610997,1.4645216,0.07119288071192881,0.3649468386494684,False,48
4088,PoG-sl,"postcentral gyrus, left, superior lateral aspect of gyrus",6,21,0.060873616,0.09271522,0.03268226,-0.9742779,0.8313168683131686,0.9922007799220078,False,49
4395,DTA,"anterior group of nuclei, left",6,19,0.06058074,-0.026421247,0.048692614,1.7867594,0.03799620037996201,0.29350264973502643,False,50
4113,AnG-s,"angular gyrus, left, superior bank of gyrus",6,17,0.057627067,0.06404537,0.027791198,-0.23094732,0.5912408759124088,0.9500602571321816,False,51
4114,AnG-i,"angular gyrus, left, inferior bank of gyrus",6,18,0.056639288,0.020640343,0.028491579,1.2634941,0.10238976102389762,0.4684331566843316,False,52
4089,PoG-il,"postcentral gyrus, left, inferior lateral aspect of gyrus",5,13,0.054325677,0.094214685,0.029963631,-1.3312474,0.9109089091090891,0.9922007799220078,False,53
4224,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",6,35,0.048435878,0.03563756,0.027348233,0.467976,0.31896810318968105,0.7055687288414015,False,54
4023,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",6,43,0.04595051,0.0034158784,0.026185747,1.6243428,0.05449455054494551,0.343879405162932,False,55
4223,CgGf-s,"cingulate gyrus, frontal part, left, superior bank of gyrus",6,31,0.045934167,-0.0025002353,0.026046852,1.8595108,0.033396660333966606,0.29350264973502643,False,56
4098,SPL-s,"superior parietal lobule, left, superior bank of gyrus",6,19,0.045453206,0.047917806,0.027517226,-0.08956571,0.5355464453554645,0.902432484024325,False,57
4045,orIFG,"inferior frontal gyrus, orbital part, left",6,18,0.044691797,0.021083137,0.029416429,0.8025672,0.20627937206279373,0.6640064807078614,False,58
4142,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",6,36,0.04338573,0.017345231,0.026505025,0.982474,0.1648835116488351,0.5806150154215348,False,59
