structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,number_of_genes
13005,LHM,"lateral hypothalamic area, mammillary region, left",6,6,176
4542,PrOR,"preoptic region, left",6,6,176
9004,CGMB,"central gray substance of midbrain, left",5,18,176
4159,FuG-l,"fusiform gyrus, left, lateral bank of gyrus",5,18,176
4231,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",5,17,176
4295,GPe,"globus pallidus, external segment, left",5,15,176
4208,IOG-i,"inferior occipital gyrus, left, inferior bank of gyrus",5,15,176
4073,PCLa-s,"paracentral lobule, anterior part, left, superior bank of gyrus",5,14,176
4015,PrG-cs,"precentral gyrus, left, bank of the central sulcus",5,14,176
4742,He-VIIIA,"VIIIA, left, lateral hemisphere",5,13,176
4207,IOG-s,"inferior occipital gyrus, left, superior bank of gyrus",5,13,176
4089,PoG-il,"postcentral gyrus, left, inferior lateral aspect of gyrus",5,13,176
9178,SOC,"superior olivary complex, left",5,12,176
9143,7,"facial motor nucleus, left",5,11,176
4215,SOG-i,"superior occipital gyrus, left, inferior bank of gyrus",5,11,176
4090,PoG-pcs,"postcentral gyrus, left, bank of the posterior central sulcus",5,10,176
4301,SptN,"septal nuclei, left",5,10,176
4724,PV-Crus II,"Crus II, left, paravermis",5,9,176
4719,PV-IV,"IV, left, paravermis",5,9,176
4728,PV-IX,"IX, left, paravermis",5,9,176
4726,PV-VIIIA,"VIIIA, left, paravermis",5,9,176
4901,IRoG,"inferior rostral gyrus, left",5,9,176
4444,MG,"medial geniculate complex, left",5,9,176
9152,MPB,"medial parabrachial nucleus, left",5,9,176
4727,PV-VIIIB,"VIIIB, left, paravermis",5,8,176
9206,Mo5,"motor nucleus of trigeminal nerve, left",5,8,176
9155,SubC,"nucleus subceruleus, left",5,8,176
4903,TP-s,"temporal pole, left, superior aspect",5,8,176
4169,TG,"transverse gyri, left",5,8,176
9137,6,"abducens nucleus, left",5,7,176
9529,8Co,"cochlear nuclei, left",5,7,176
9146,LPB,"lateral parabrachial nucleus, left",5,7,176
4573,PVH,"paraventricular nucleus of the hypothalamus, left",5,7,176
4069,PaOG,"parolfactory gyri, left",5,7,176
4428,DTP,"posterior group of nuclei, left",5,6,176
9022,SubCn,"subcuneiform nucleus, left",5,6,176
4593,SO,"supraoptic nucleus, left",5,6,176
4637,VMH,"ventromedial hypothalamic nucleus, left",5,6,176
4736,He-V,"V, left, lateral hemisphere",4,10,176
9546,10,"dorsal motor nucleus of the vagus, left",4,10,176
4701,Ve-III,III,4,9,176
4308,nbM,"basal nucleus of meynert, left",4,9,176
9525,CGS,central glial substance,4,9,176
9589,CMRt,"central medullary reticular group, left",4,9,176
9558,12,"hypoglossal nucleus, left",4,9,176
9149,LC,"locus ceruleus, left",4,9,176
4172,PLT,"planum temporale, left",4,9,176
4735,He-IV,"IV, left, lateral hemisphere",4,8,176
4703,Ve-V,V,4,8,176
4042,opIFG,"inferior frontal gyrus, opercular part, left",4,8,176
4718,PV-III,"III, left, paravermis",4,7,176
4702,Ve-IV,IV,4,7,176
4711,Ve-IX,IX,4,7,176
4705,Ve-VI,VI,4,7,176
4707,Ve-VIIAt,VIIAt,4,7,176
4708,Ve-VIIB,VIIB,4,7,176
4709,Ve-VIIIA,VIIIA,4,7,176
4710,Ve-VIIIB,VIIIB,4,7,176
4743,He-VIIIB,"VIIIB, left, lateral hemisphere",4,7,176
9020,CnF,"cuneiform nucleus, left",4,7,176
9103,IC,"inferior colliculus, left",4,7,176
4898,SRoG,"superior rostral gyrus, left",4,7,176
4672,MM,"medial mammillary nucleus, left",4,6,176
9207,Pr5,"principal sensory nucleus of trigeminal nerve, left",4,6,176
4063,SCG,"subcallosal cingulate gyrus, left",4,6,176
9115,SC,"superior colliculus, left",4,6,176
4904,TP-i,"temporal pole, left, inferior aspect",4,6,176
4905,TP-m,"temporal pole, left, medial aspect",4,6,176
4313,BST,"bed  nucleus of stria terminalis, left",4,5,176
4641,DMH,"dorsomedial hypothalamic nucleus, left",4,5,176
4310,DBv,"nucleus of the diagonal band, left, horizontal division",4,5,176
10145,OlfT,"olfactory tubercle, left",4,5,176
4648,PeF,"perifornical nucleus, left",4,5,176
4596,LHA,"lateral hypothalamic area, anterior region, left",4,4,176
13008,LHT,"lateral hypothalamic area, tuberal region, left",4,4,176
4675,LM,"lateral mammillary nucleus, left",4,4,176
10151,LTu,"lateral tuberal nucleus, left",4,4,176
4311,DBh,"nucleus of the diagonal band, left, vertical division",4,4,176
4669,SuM,"supramammillary nucleus, left",4,4,176
4667,TM,"tuberomammillary nucleus, left",4,4,176
4238,CgGr-i,"cingulate gyrus, retrosplenial part, left, inferior bank of gyrus",3,6,176
4700,Ve-I-II,I-II,3,5,176
4706,Ve-VIIAf,VIIAf,3,5,176
4713,Ve-X,X,3,5,176
4746,He-X,"X, left, lateral hemisphere",3,5,176
4054,AOrG,"anterior orbital gyrus, left",3,5,176
9708,CPLV,choroid plexus of the lateral ventricle,3,5,176
4237,CgGr-s,"cingulate gyrus, retrosplenial part, left, superior bank of gyrus",3,5,176
9456,MBRa,"midbrain raphe nuclei, left",3,5,176
4534,Pa,"paraventricular nuclei, left of thalamus, left",3,5,176
9158,RPn,"pontine raphe nucleus, left",3,5,176
4057,POrG,"posterior orbital gyrus, left",3,5,176
9079,PTec,pretectal region,3,4,176
4644,ARH,"arcuate nucleus of the hypothalamus, left",3,3,176
4785,Glo,"globose nucleus, left",3,3,176
9555,Gr,"gracile nucleus, left",3,3,176
9031,3,"oculomotor nuclear complex, left",3,3,176
4597,PalHy,"pallidohypothalamic nucleus, left",3,3,176
10143,Pir,"piriform cortex, left",3,3,176
4033,MFG-s,"middle frontal gyrus, right, superior bank of gyrus",2,19,176
4146,MTG-i,"middle temporal gyrus, right, inferior bank of gyrus",2,17,176
4145,MTG-s,"middle temporal gyrus, right, superior bank of gyrus",2,16,176
4026,SFG-m,"superior frontal gyrus, right, medial bank of gyrus",2,16,176
4153,ITG-its,"inferior temporal gyrus, right, bank of the its",2,15,176
4034,MFG-i,"middle frontal gyrus, right, inferior bank of gyrus",2,15,176
4027,SFG-l,"superior frontal gyrus, right, lateral bank of gyrus",2,15,176
4323,Cl,"claustrum, right",2,14,176
4289,Pu,"putamen, right",2,14,176
4472,DTLv,"lateral group of nuclei, right, ventral division",2,13,176
9493,Pn,"pontine nuclei, right",2,13,176
4263,CA1,"CA1 field, right",2,12,176
4155,ITG-mts,"inferior temporal gyrus, right, bank of mts",2,12,176
9684,Sp5,"spinal trigeminal nucleus, right",2,12,176
4286,BCd,"body of caudate nucleus, right",2,11,176
4226,CgGf-s,"cingulate gyrus, frontal part, right, superior bank of gyrus",2,11,176
4154,ITG-l,"inferior temporal gyrus, right, lateral bank of gyrus",2,11,176
4266,CA4,"CA4 field, right",2,10,176
4049,GRe,"gyrus rectus, right",2,10,176
4284,HCd,"head of caudate nucleus, right",2,10,176
4139,STG-i,"superior temporal gyrus, right, inferior bank of gyrus",2,10,176
4264,CA2,"CA2 field, right",2,9,176
4265,CA3,"CA3 field, right",2,9,176
4450,DTA,"anterior group of nuclei, right",2,9,176
4267,DG,"dentate gyrus, right",2,9,176
4093,PoG-sl,"postcentral gyrus, right, superior lateral aspect of gyrus",2,9,176
4260,S,"subiculum, right",2,9,176
9005,CGMB,"central gray substance of midbrain, right",2,8,176
4162,FuG-its,"fusiform gyrus, right, bank of the its",2,8,176
4298,GPe,"globus pallidus, external segment, right",2,8,176
9565,IO,"inferior olivary complex, right",2,8,176
4197,LiG-str,"lingual gyrus, right, striate",2,8,176
4455,DTM,"medial group of nuclei, right",2,8,176
9169,PRF,"pontine reticular formation, right",2,8,176
4092,PoG-cs,"postcentral gyrus, right, bank of the central sulcus",2,8,176
9078,SNR,"substantia nigra, pars reticulata, right",2,8,176
4285,TCd,"tail of caudate nucleus, right",2,8,176
4117,AnG-i,"angular gyrus, right, inferior bank of gyrus",2,7,176
9619,LMRt,"lateral medullary reticular group, right",2,7,176
4196,LiG-pest,"lingual gyrus, right, peristriate",2,7,176
9455,MBRa,midbrain raphe nuclei,2,7,176
4248,PHG-cos,"parahippocampal gyrus, right, bank of the cos",2,7,176
4094,PoG-il,"postcentral gyrus, right, inferior lateral aspect of gyrus",2,7,176
4020,PrG-cs,"precentral gyrus, right, bank of the central sulcus",2,7,176
4512,R,"reticular nucleus of thalamus, right",2,7,176
4487,ILr,"rostral group of intralaminar nuclei, right",2,7,176
9077,SNC,"substantia nigra, pars compacta, right",2,7,176
9703,8Ve,"vestibular nuclei, right",2,7,176
9521,Arc,"arcuate nucleus of medulla, right",2,6,176
9593,CMRt,"central medullary reticular group, right",2,6,176
4227,CgGf-i,"cingulate gyrus, frontal part, right, inferior bank of gyrus",2,6,176
9544,Cu,"cuneate nucleus, right",2,6,176
9547,10,"dorsal motor nucleus of the vagus, right",2,6,176
4164,FuG-cos,"fusiform gyrus, right, bank of cos",2,6,176
9556,Gr,"gracile nucleus, right",2,6,176
9559,12,"hypoglossal nucleus, right",2,6,176
4052,MOrG,"medial orbital gyrus, right",2,6,176
4076,PCLa-s,"paracentral lobule, anterior part, right, superior bank of gyrus",2,6,176
4274,SIG,"short insular gyri, right",2,6,176
4101,SPL-s,"superior parietal lobule, right, superior bank of gyrus",2,6,176
4110,SMG-i,"supramarginal gyrus, right, inferior bank of gyrus",2,6,176
4773,He-Crus II,"Crus II, right, lateral hemisphere",2,5,176
4167,HG,"Heschl's gyrus, right",2,5,176
4116,AnG-s,"angular gyrus, right, superior bank of gyrus",2,5,176
4163,FuG-l,"fusiform gyrus, right, lateral bank of gyrus",2,5,176
