gene_symbol,probe_id,probe_name,total_detected_samples,total_samples,overall_detection_rate,number_of_donors_present,donors_with_detection_rate_at_least_0_5,reliable_probe
DIRC1,1036088,A_23_P131139,3700,3702,0.9994597514856834,6,6,True
DIRC1,1036089,CUST_8549_PI416261804,23,3702,0.006212857914640735,6,0,False
DLG2,1011473,A_32_P229618,3690,3702,0.9967585089141004,6,6,True
DLG2,1014060,A_23_P422872,3290,3702,0.8887088060507834,6,6,True
DLG2,1015299,A_23_P124514,3692,3702,0.9972987574284171,6,6,True
DLG2,1020078,CUST_234_PI416408490,3559,3702,0.9613722312263642,6,6,True
DNAH17,1029339,CUST_3091_PI416261804,22,3702,0.005942733657482442,6,0,False
DNAH17,1029340,A_24_P195272,1808,3702,0.4883846569421934,6,3,False
DNASE1L1,1057592,A_24_P6305,1366,3702,0.368989735278228,6,3,False
DNASE1L1,1057593,A_23_P85164,3566,3702,0.9632631010264722,6,6,True
DNM1L,1026402,A_23_P204324,3688,3702,0.9962182603997839,6,6,True
DNM1L,1026403,A_24_P176044,3667,3702,0.9905456509994598,6,6,True
DNM1L,1026404,A_24_P743907,3698,3702,0.9989195029713668,6,6,True
DPP6,1021964,A_23_P170888,3700,3702,0.9994597514856834,6,6,True
DPP6,1021965,A_24_P6552,3696,3702,0.9983792544570502,6,6,True
DPP6,1021966,CUST_238_PI416408490,3280,3702,0.8860075634792004,6,6,True
DPP6,1025983,A_32_P175900,3234,3702,0.873581847649919,6,6,True
DYRK1A,1026233,A_23_P211126,3691,3702,0.9970286331712588,6,6,True
DYRK1A,1026234,A_24_P62169,3639,3702,0.9829821717990276,6,6,True
DYRK1A,1026235,A_24_P322753,3655,3702,0.9873041599135602,6,6,True
ELOVL7,1014431,A_24_P32473,3621,3702,0.9781199351701783,6,6,True
ELOVL7,1017481,A_23_P359277,3612,3702,0.9756888168557536,6,6,True
FAM171A2,1013916,CUST_986_PI416573500,1513,3702,0.40869800108049703,6,3,False
FAM171A2,1017989,CUST_1017_PI416379584,2805,3702,0.7576985413290114,6,6,True
FAM47E,1011673,CUST_8421_PI416261804,2860,3702,0.7725553754727175,6,6,True
FAM47E,1015924,A_32_P83811,3580,3702,0.9670448406266883,6,6,True
FASN,1057064,A_23_P44132,3430,3702,0.9265262020529443,6,6,True
FASN,1057065,CUST_14284_PI416261804,1126,3702,0.3041599135602377,6,1,False
FBRSL1,1014256,A_24_P280497,3702,3702,1.0,6,6,True
FBRSL1,1015696,A_23_P368934,3700,3702,0.9994597514856834,6,6,True
FCGR2A,1019379,A_23_P85716,3319,3702,0.8965424095083738,6,6,True
FCGR2B,1026970,A_23_P34644,123,3702,0.03322528363047002,6,0,False
FCGR2B,1026971,CUST_14535_PI416261804,509,3702,0.13749324689357104,6,1,False
FCGR3B,1057035,CUST_15193_PI416261804,1772,3702,0.47866018368449487,6,2,False
FGD4,1035818,A_24_P158946,3699,3702,0.9991896272285251,6,6,True
FGD4,1035819,A_24_P914639,34,3702,0.009184224743381956,6,0,False
FGD4,1064628,A_24_P937325,2036,3702,0.5499729875742841,6,4,True
FYN,1029625,A_23_P502142,3700,3702,0.9994597514856834,6,6,True
FYN,1029626,CUST_16124_PI416261804,3697,3702,0.9986493787142086,6,6,True
