gene_symbol,probe_id,probe_name,total_detected_samples,total_samples,overall_detection_rate,number_of_donors_present,donors_with_detection_rate_at_least_0_5,reliable_probe
PLEKHM1,1014469,A_23_P164112,1674,3702,0.4521880064829822,6,2,False
PLEKHM1,1015773,A_23_P152727,3701,3702,0.9997298757428417,6,6,True
PLEKHM1,1019528,A_24_P49514,2040,3702,0.5510534846029174,6,3,True
PLEKHM1,1020046,CUST_9651_PI416261804,3700,3702,0.9994597514856834,6,6,True
PMVK,1047114,A_23_P114774,3700,3702,0.9994597514856834,6,6,True
PMVK,1047115,CUST_16745_PI416261804,3580,3702,0.9670448406266883,6,6,True
PRDM15,1021358,CUST_4340_PI416261804,999,3702,0.2698541329011345,6,1,False
PRDM15,1021359,A_24_P194337,418,3702,0.1129119394921664,6,0,False
PRDM15,1021360,CUST_2069_PI416261804,69,3702,0.018638573743922204,6,0,False
PRDM15,1065382,A_32_P145989,8,3702,0.0021609940572663426,6,0,False
RAB25,1040843,A_23_P115091,50,3702,0.01350621285791464,6,0,False
RAB25,1040844,CUST_10373_PI416261804,46,3702,0.01242571582928147,6,0,False
RABEP2,1038854,A_23_P61100,3492,3702,0.9432739059967585,6,6,True
RABEP2,1038855,CUST_5307_PI416261804,3396,3702,0.9173419773095624,6,6,True
RBMS3,1027165,A_32_P228618,3699,3702,0.9991896272285251,6,6,True
RBMS3,1027166,A_23_P10995,2516,3702,0.6796326310102647,6,6,True
RBMS3,1027167,A_24_P359942,3604,3702,0.9735278227984873,6,6,True
RILPL2,1033620,A_23_P76109,3680,3702,0.9940572663425176,6,6,True
RILPL2,1033621,CUST_2047_PI416261804,3400,3702,0.9184224743381956,6,6,True
RIMS1,1046115,A_23_P432110,3394,3702,0.9168017287952458,6,6,True
RIMS1,1046116,CUST_13778_PI416261804,3686,3702,0.9956780118854673,6,6,True
RIMS2,1013694,A_23_P147786,3686,3702,0.9956780118854673,6,6,True
RIMS2,1014746,A_24_P222000,3446,3702,0.930848190167477,6,6,True
RIMS2,1015006,A_24_P332816,3597,3702,0.9716369529983793,6,6,True
RIMS2,1020609,CUST_38_PI416408490,3695,3702,0.998109130199892,6,6,True
RIT1,1052172,A_23_P316601,3669,3702,0.9910858995137763,6,6,True
RIT1,1052174,A_23_P115052,2245,3702,0.6064289573203674,6,4,True
RIT2,1052175,A_23_P170050,3609,3702,0.9748784440842788,6,6,True
RIT2,1052176,CUST_6645_PI416261804,3672,3702,0.9918962722852512,6,6,True
RNF141,1043920,A_24_P372625,3700,3702,0.9994597514856834,6,6,True
RNF141,1043922,A_23_P139066,3700,3702,0.9994597514856834,6,6,True
RORA,1024340,A_23_P26124,3699,3702,0.9991896272285251,6,6,True
RORA,1024341,A_32_P7721,3697,3702,0.9986493787142086,6,6,True
RPL10,1052085,A_23_P217666,3700,3702,0.9994597514856834,6,6,True
RPL10,1052086,A_24_P754803,3700,3702,0.9994597514856834,6,6,True
RPL10,1052087,A_32_P161166,3678,3702,0.993517017828201,6,6,True
RPL13AP3,1012847,CUST_162_PI417507815,3700,3702,0.9994597514856834,6,6,True
RPL3,1052118,A_23_P68942,3702,3702,1.0,6,6,True
RPL3,1052119,A_32_P176344,3338,3702,0.9016747703943814,6,6,True
RPS6KL1,1038074,A_24_P219108,2297,3702,0.6204754186925986,6,4,True
RPS6KL1,1038075,A_24_P153547,3492,3702,0.9432739059967585,6,6,True
SCARB2,1058448,A_23_P386514,3699,3702,0.9991896272285251,6,6,True
SCARB2,1058449,A_24_P54879,3686,3702,0.9956780118854673,6,6,True
SCN2A,1022204,CUST_547_PI416408490,3624,3702,0.9789303079416531,6,6,True
SCN2A,1022205,A_23_P51019,3696,3702,0.9983792544570502,6,6,True
SCN2A,1022206,CUST_16292_PI416261804,3580,3702,0.9670448406266883,6,6,True
SCN2A,1022207,CUST_548_PI416408490,3694,3702,0.9978390059427337,6,6,True
SEC23IP,1046486,A_23_P202602,3688,3702,0.9962182603997839,6,6,True
SEC23IP,1046487,A_24_P227017,3319,3702,0.8965424095083738,6,6,True
SEMA4A,1039940,A_23_P23438,3498,3702,0.9448946515397083,6,6,True
SEMA4A,1039941,CUST_863_PI416261804,667,3702,0.1801728795245813,6,0,False
SETD1A,1023898,A_23_P129678,2387,3702,0.644786601836845,6,5,True
SETD1A,1023899,CUST_10043_PI416261804,2491,3702,0.6728795245813074,6,6,True
SH2B1,1013795,CUST_11979_PI416261804,2384,3702,0.6439762290653701,6,5,True
SH2B1,1019011,A_24_P185029,3308,3702,0.8935710426796326,6,6,True
SH3GL2,1051629,A_23_P169351,3682,3702,0.9945975148568341,6,6,True
SH3GL2,1051630,CUST_10871_PI416261804,3646,3702,0.9848730415991356,6,6,True
SIPA1L2,1040561,A_23_P137470,3694,3702,0.9978390059427337,6,6,True
SIPA1L2,1040562,CUST_5402_PI416261804,3697,3702,0.9986493787142086,6,6,True
SLC25A44,1048289,CUST_7482_PI416261804,1265,3702,0.3417071853052404,6,1,False
SLC25A44,1048290,CUST_3312_PI416261804,3055,3702,0.8252296056185845,6,6,True
SLC25A44,1048291,A_24_P312325,3668,3702,0.990815775256618,6,6,True
SLC2A13,1036278,A_23_P10211,3695,3702,0.998109130199892,6,6,True
SLC2A13,1036279,A_32_P199801,3699,3702,0.9991896272285251,6,6,True
SLC2A13,1036280,A_24_P924816,1430,3702,0.38627768773635873,6,2,False
SLC38A1,1011006,A_24_P261734,3699,3702,0.9991896272285251,6,6,True
SLC38A1,1020708,A_23_P363399,3698,3702,0.9989195029713668,6,6,True
SLC41A1,1032909,A_24_P122732,3694,3702,0.9978390059427337,6,6,True
SLC41A1,1032910,A_23_P368182,80,3702,0.021609940572663425,6,0,False
SLC44A4,1038467,A_23_P93349,23,3702,0.006212857914640735,6,0,False
SLC44A4,1038468,A_24_P684183,27,3702,0.007293354943273906,6,0,False
SMAD4,1054430,A_23_P27346,3567,3702,0.9635332252836305,6,6,True
SMAD4,1054431,CUST_15879_PI416261804,2467,3702,0.6663965424095084,6,5,True
SNCA,1010655,A_32_P109653,3700,3702,0.9994597514856834,6,6,True
SNCA,1020182,A_23_P29939,3697,3702,0.9986493787142086,6,6,True
SORBS2,1029199,A_23_P121795,3673,3702,0.9921663965424095,6,6,True
SORBS2,1029200,A_24_P140475,3427,3702,0.9257158292814694,6,6,True
SORBS2,1068745,A_24_P912136,3565,3702,0.9629929767693138,6,6,True
SPATA19,1033264,A_23_P430718,242,3702,0.06537007023230686,6,0,False
SPATA19,1033265,CUST_214_PI416261804,35,3702,0.00945434900054025,6,0,False
SPATA6,1042808,A_23_P327483,3531,3702,0.953808752025932,6,6,True
SPATA6,1042809,CUST_107_PI416261804,3644,3702,0.984332793084819,6,6,True
SPPL2B,1013582,A_32_P161447,3687,3702,0.9959481361426256,6,6,True
SPPL2B,1019980,A_23_P79066,3700,3702,0.9994597514856834,6,6,True
SPTSSB,1021818,A_32_P199551,2701,3702,0.7296056185845489,6,6,True
SPTSSB,1021819,CUST_1107_PI416261804,2048,3702,0.5532144786601837,6,3,True
STK39,1044446,A_23_P90762,3699,3702,0.9991896272285251,6,6,True
STK39,1044447,A_24_P19544,3692,3702,0.9972987574284171,6,6,True
STX1B,1036371,A_23_P152462,3694,3702,0.9978390059427337,6,6,True
STX1B,1036372,CUST_12338_PI416261804,3694,3702,0.9978390059427337,6,6,True
SV2C,1025369,CUST_882_PI416379584,3592,3702,0.9702863317125878,6,6,True
SV2C,1025370,CUST_853_PI416573500,3268,3702,0.882766072393301,6,6,True
SV2C,1025371,CUST_618_PI416408490,3217,3702,0.868989735278228,6,6,True
SYT10,1031929,A_23_P13866,2645,3702,0.7144786601836844,6,6,True
SYT10,1031930,CUST_1388_PI416261804,2279,3702,0.6156131820637494,6,5,True
SYT17,1043121,A_23_P163697,3687,3702,0.9959481361426256,6,6,True
SYT17,1043122,CUST_636_PI416408490,3652,3702,0.9864937871420854,6,6,True
SYT17,1043123,CUST_1342_PI416261804,3558,3702,0.9611021069692058,6,6,True
SYT4,1051007,A_23_P208030,3686,3702,0.9956780118854673,6,6,True
SYT4,1051008,CUST_639_PI416408490,3669,3702,0.9910858995137763,6,6,True
SYT4,1051009,CUST_10907_PI416261804,3684,3702,0.9951377633711507,6,6,True
TAC1,1028377,CUST_16410_PI416261804,3087,3702,0.8338735818476499,6,6,True
TAC1,1029249,CUST_2040_PI417557136,3427,3702,0.9257158292814694,6,6,True
TAC1,1029250,CUST_2039_PI417557136,3518,3702,0.9502971366828741,6,6,True
TAC1,1029251,CUST_2038_PI417557136,3291,3702,0.8889789303079416,6,6,True
TAC1,1029252,A_24_P38290,3117,3702,0.8419773095623987,6,6,True
TAC1,1029253,CUST_2037_PI417557136,3093,3702,0.8354943273905997,6,6,True
TAC1,1029254,CUST_2036_PI417557136,2866,3702,0.7741761210156672,6,6,True
TAC1,1029255,CUST_2035_PI417557136,3199,3702,0.8641274986493788,6,6,True
TAC1,1029256,CUST_25_PI416558205,3271,3702,0.8835764451647758,6,6,True
TAC1,1029257,CUST_26_PI416558205,3332,3702,0.9000540248514317,6,6,True
TAC1,1029258,CUST_2034_PI417557136,2983,3702,0.8057806591031874,6,6,True
TAC1,1029261,CUST_16403_PI416261804,2898,3702,0.7828200972447326,6,6,True
TAC1,1051004,A_23_P215283,3184,3702,0.8600756347920043,6,6,True
TBC1D5,1011556,A_24_P289029,3694,3702,0.9978390059427337,6,6,True
TBC1D5,1020243,A_23_P355455,3257,3702,0.8797947055645597,6,6,True
TBXAS1,1019912,A_32_P212886,3048,3702,0.8233387358184765,6,6,True
TBXAS1,1028035,A_24_P274814,3603,3702,0.973257698541329,6,6,True
TBXAS1,1028036,CUST_16570_PI416261804,52,3702,0.014046461372231226,6,0,False
TEKT4,1034403,CUST_4578_PI416261804,362,3702,0.097784981091302,6,0,False
TEKT4,1034404,A_32_P231179,2926,3702,0.7903835764451648,6,5,True
TEKT4,1034405,CUST_1909_PI416261804,614,3702,0.1658562938951918,6,0,False
TIAL1,1022190,A_23_P161488,3690,3702,0.9967585089141004,6,6,True
TIAL1,1022191,CUST_7506_PI416261804,3681,3702,0.9943273905996759,6,6,True
TIAL1,1022192,CUST_7505_PI416261804,3670,3702,0.9913560237709347,6,6,True
TMEM108,1039492,A_23_P254688,3691,3702,0.9970286331712588,6,6,True
TMEM108,1039493,A_24_P71781,3388,3702,0.915180983252296,6,6,True
TMEM108,1061880,A_24_P51016,24,3702,0.006482982171799027,6,0,False
TMEM163,1038292,A_23_P39550,3030,3702,0.8184764991896273,6,6,True
TMEM163,1038293,CUST_8542_PI416261804,2414,3702,0.6520799567801189,6,5,True
TMEM175,1037692,A_23_P58148,3701,3702,0.9997298757428417,6,6,True
TMEM175,1037693,CUST_588_PI416261804,3700,3702,0.9994597514856834,6,6,True
TPM1,1029651,A_32_P89709,3650,3702,0.9859535386277688,6,6,True
TPM1,1029652,A_23_P391586,3699,3702,0.9991896272285251,6,6,True
TPM1,1029653,A_23_P206018,3672,3702,0.9918962722852512,6,6,True
TPM1,1029654,A_24_P44462,3403,3702,0.9192328471096705,6,6,True
TPM1,1029722,CUST_14757_PI416261804,3680,3702,0.9940572663425176,6,6,True
TPM1,1030777,A_23_P363344,3694,3702,0.9978390059427337,6,6,True
TPM1,1030778,CUST_14754_PI416261804,3205,3702,0.8657482441923284,6,6,True
TRIM40,1035144,A_23_P402778,94,3702,0.025391680172879523,6,0,False
TRIM40,1035145,CUST_2217_PI416261804,212,3702,0.05726634251755808,6,0,False
TRIM46,1038649,A_23_P46215,1363,3702,0.3681793625067531,6,2,False
TRIM46,1038650,CUST_934_PI416261804,59,3702,0.015937331172339277,6,0,False
TRIM46,1061310,A_23_P46222,3607,3702,0.9743381955699622,6,6,True
TXNDC15,1038974,A_23_P41777,3700,3702,0.9994597514856834,6,6,True
TXNDC15,1038975,CUST_10984_PI416261804,3688,3702,0.9962182603997839,6,6,True
UBAP2,1041521,A_23_P60472,3690,3702,0.9967585089141004,6,6,True
UBAP2,1041522,CUST_1497_PI416261804,1826,3702,0.4932468935710427,6,4,False
UBQLN4,1041134,A_23_P201059,3443,3702,0.9300378173960021,6,6,True
UBQLN4,1041135,CUST_5053_PI416261804,2251,3702,0.6080497028633172,6,5,True
UBTF,1011311,A_24_P349616,3087,3702,0.8338735818476499,6,6,True
UBTF,1020229,A_23_P100779,3533,3702,0.9543490005402485,6,6,True
USP50,1031669,CUST_309_PI416573500,14,3702,0.0037817396002160996,6,0,False
USP50,1031670,CUST_317_PI416379584,65,3702,0.01755807671528903,6,0,False
USP8,1014451,CUST_10386_PI416261804,3689,3702,0.9964883846569422,6,6,True
USP8,1019894,A_23_P129058,3576,3702,0.965964343598055,6,6,True
VAMP4,1022872,A_23_P61569,3471,3702,0.9376012965964343,6,6,True
VAMP4,1022873,CUST_4744_PI416261804,3654,3702,0.9870340356564019,6,6,True
VAMP4,1063422,A_24_P942030,3317,3702,0.8960021609940573,6,6,True
VN1R10P,1037931,A_23_P300087,71,3702,0.01917882225823879,6,0,False
VN1R10P,1037932,CUST_1700_PI416261804,30,3702,0.008103727714748784,6,0,False
WDHD1,1024873,A_23_P25873,2722,3702,0.7352782279848731,6,6,True
WDHD1,1024874,CUST_10452_PI416261804,2926,3702,0.7903835764451648,6,6,True
WDHD1,1067761,A_32_P148602,49,3702,0.013236088600756347,6,0,False
WDR41,1042082,A_23_P259521,3675,3702,0.9927066450567261,6,6,True
WDR41,1042083,CUST_289_PI416261804,3663,3702,0.9894651539708266,6,6,True
WNT3,1050353,A_23_P130158,3699,3702,0.9991896272285251,6,6,True
WNT3,1050354,CUST_10005_PI416261804,66,3702,0.017828200972447326,6,0,False
WWOX,1025804,A_23_P206413,3627,3702,0.979740680713128,6,6,True
WWOX,1025805,CUST_16920_PI416261804,3701,3702,0.9997298757428417,6,6,True
WWOX,1043133,A_23_P83368,3700,3702,0.9994597514856834,6,6,True
WWOX,1043134,A_23_P71972,3693,3702,0.9975688816855753,6,6,True
WWOX,1043135,A_24_P116606,2954,3702,0.797947055645597,6,6,True
WWOX,1043136,CUST_16727_PI416261804,3700,3702,0.9994597514856834,6,6,True
XPO1,1050310,A_32_P92714,1111,3702,0.3001080497028633,6,1,False
XPO1,1050311,A_23_P40078,3687,3702,0.9959481361426256,6,6,True
ZNF322,1039074,CUST_2383_PI416261804,3128,3702,0.8449486763911399,6,6,True
ZNF322,1039075,A_32_P206293,3700,3702,0.9994597514856834,6,6,True
ZNF608,1025964,A_23_P169978,3664,3702,0.9897352782279849,6,6,True
ZNF608,1025965,CUST_10363_PI416261804,3406,3702,0.9200432198811453,6,6,True
