gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,overall_detection_rate,total_detected_samples,total_samples
ABCC5,1047877,A_23_P258221,9912,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",10057.0,3,0.9994597514856834,3700,3702
ABCC6,1015764,A_23_P15272,365,"ATP-binding cassette, sub-family C (CFTR/MRP), member 6",368.0,16,0.9078876283090221,3361,3702
ABCC8,1051026,A_23_P24774,6793,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",6833.0,11,0.998109130199892,3695,3702
ABCC9,1025070,A_24_P178503,9915,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9",10060.0,12,0.9592112371690977,3551,3702
ABCD2,1059261,CUST_16263_PI416261804,222,"ATP-binding cassette, sub-family D (ALD), member 2",225.0,12,0.9937871420853592,3679,3702
ABCD3,1011381,CUST_16301_PI416261804,5793,"ATP-binding cassette, sub-family D (ALD), member 3",5825.0,1,0.998109130199892,3695,3702
ABCD4,1018494,A_23_P37327,5794,"ATP-binding cassette, sub-family D (ALD), member 4",5826.0,14,0.9846029173419774,3645,3702
ABCE1,1020886,A_23_P41380,6027,"ATP-binding cassette, sub-family E (OABP), member 1",6059.0,4,0.9994597514856834,3700,3702
ABCF1,1059485,A_23_P251660,20,"ATP-binding cassette, sub-family F (GCN20), member 1",23.0,6,0.975148568341437,3610,3702
ABCF2,1024085,CUST_15809_PI416261804,9916,"ATP-binding cassette, sub-family F (GCN20), member 2",10061.0,7,0.9748784440842788,3609,3702
ABCF3,1041989,A_24_P251688,34613,"ATP-binding cassette, sub-family F (GCN20), member 3",55324.0,3,0.9986493787142086,3697,3702
ABCG1,1028929,A_23_P166297,9475,"ATP-binding cassette, sub-family G (WHITE), member 1",9619.0,21,0.9937871420853592,3679,3702
ABCG2,1048598,A_23_P18713,9293,"ATP-binding cassette, sub-family G (WHITE), member 2",9429.0,4,0.9997298757428417,3701,3702
ABCG4,1015836,A_24_P355626,40770,"ATP-binding cassette, sub-family G (WHITE), member 4",64137.0,11,0.990815775256618,3668,3702
ABCG8,1039919,CUST_16054_PI416261804,40872,"ATP-binding cassette, sub-family G (WHITE), member 8",64241.0,2,0.7058346839546191,2613,3702
ABHD1,1037409,A_23_P17242,58894,abhydrolase domain containing 1,84696.0,2,0.9581307401404646,3547,3702
ABHD10,1041937,A_23_P92213,34636,abhydrolase domain containing 10,55347.0,3,0.9983792544570502,3696,3702
ABHD11,1023804,A_23_P315933,57695,abhydrolase domain containing 11,83451.0,7,0.9994597514856834,3700,3702
ABHD12,1045049,A_23_P367026,25839,abhydrolase domain containing 12,26090.0,20,0.9978390059427337,3694,3702
ABHD12B,1024791,CUST_7223_PI416261804,80438,abhydrolase domain containing 12B,145447.0,14,0.6958400864397623,2576,3702
ABHD13,1037200,A_23_P205027,59135,abhydrolase domain containing 13,84945.0,13,0.9378714208535927,3472,3702
ABHD14A,1045270,A_23_P69267,25613,abhydrolase domain containing 14A,25864.0,3,1.0,3702,3702
ABHD14B,1018860,A_23_P155417,59026,abhydrolase domain containing 14B,84836.0,3,0.8160453808752026,3021,3702
ABHD2,1046650,A_23_P140591,10899,abhydrolase domain containing 2,11057.0,15,0.9991896272285251,3699,3702
ABHD3,1033648,CUST_6172_PI416261804,82725,abhydrolase domain containing 3,171586.0,18,0.9459751485683414,3502,3702
ABHD4,1040141,A_23_P205519,40517,abhydrolase domain containing 4,63874.0,14,0.9989195029713668,3698,3702
ABHD5,1043771,A_23_P250294,30581,abhydrolase domain containing 5,51099.0,3,0.9929767693138843,3676,3702
ABHD6,1040691,A_23_P211850,36680,abhydrolase domain containing 6,57406.0,3,0.9994597514856834,3700,3702
ABHD8,1039214,A_23_P50857,55378,abhydrolase domain containing 8,79575.0,19,0.9873041599135602,3655,3702
ABI1,1030126,A_23_P126992,9862,abl-interactor 1,10006.0,10,0.9991896272285251,3699,3702
ABI2,1047770,A_23_P79692,10007,abl-interactor 2,10152.0,2,0.9994597514856834,3700,3702
ABI3,1043626,A_23_P141429,30707,"ABI family, member 3",51225.0,17,0.968665586169638,3586,3702
ABL1,1059480,A_24_P281101,22,"c-abl oncogene 1, non-receptor tyrosine kinase",25.0,9,0.9975688816855753,3693,3702
ABL2,1020817,A_23_P138099,24,v-abl Abelson murine leukemia viral oncogene homolog 2,27.0,1,0.9924365207995678,3674,3702
ABLIM1,1027348,CUST_7376_PI416261804,3958,actin binding LIM protein 1,3983.0,10,0.9994597514856834,3700,3702
ABLIM2,1037585,A_23_P255672,58649,"actin binding LIM protein family, member 2",84448.0,4,0.9994597514856834,3700,3702
ABLIM3,1046215,A_23_P256205,22641,"actin binding LIM protein family, member 3",22885.0,5,0.9989195029713668,3698,3702
ABR,1059473,A_23_P503182,26,active BCR-related,29.0,17,0.9994597514856834,3700,3702
ABT1,1044249,CUST_2114_PI416261804,29512,activator of basal transcription 1,29777.0,6,0.631010264721772,2336,3702
ABTB1,1026256,A_23_P109643,56126,ankyrin repeat and BTB (POZ) domain containing 1,80325.0,3,0.9986493787142086,3697,3702
ABTB2,1045285,A_23_P356616,25590,ankyrin repeat and BTB (POZ) domain containing 2,25841.0,11,0.9867639113992437,3653,3702
AC002351.1,1015630,A_32_P211253,1002460,uncharacterized LOC100131138,100131138.0,12,0.9805510534846029,3630,3702
AC002472.8,1019207,A_24_P259154,76680,"tubulin, alpha 3f, pseudogene",113691.0,22,0.8390059427336575,3106,3702
AC002472.9,1014716,CUST_11615_PI416261804,133153,THAP7 antisense RNA 1 (non-protein coding),439931.0,22,0.9883846569421935,3659,3702
