gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,overall_detection_rate,total_detected_samples,total_samples
A_24_P714620,1070746,A_24_P714620,1011734,AGILENT probe A_24_P714620 (non-RefSeq),,,0.9846029173419774,3645,3702
A_24_P714707,1070747,A_24_P714707,1011735,AGILENT probe A_24_P714707 (non-RefSeq),,,0.8792544570502431,3255,3702
A_24_P714750,1063542,A_24_P714750,1006675,AGILENT probe A_24_P714750 (non-RefSeq),,,0.9991896272285251,3699,3702
A_24_P715104,1067007,A_24_P85123,1009019,AGILENT probe A_24_P715104 (non-RefSeq),,,0.9816315505132361,3634,3702
A_24_P715434,1066766,A_24_P715434,1008854,AGILENT probe A_24_P715434 (non-RefSeq),,,0.7603997839005943,2815,3702
A_24_P715469,1061899,A_24_P715469,1005585,AGILENT probe A_24_P715469 (non-RefSeq),,,0.6561318206374932,2429,3702
A_24_P715518,1062774,A_24_P715518,1006187,AGILENT probe A_24_P715518 (non-RefSeq),,,0.8341437061048083,3088,3702
A_24_P715530,1060329,A_24_P715530,1004563,AGILENT probe A_24_P715530 (non-RefSeq),,,0.7976769313884386,2953,3702
A_24_P715826,1060941,A_32_P178842,1004997,AGILENT probe A_24_P715826 (non-RefSeq),,,0.9864937871420854,3652,3702
A_24_P715924,1066157,A_24_P715924,1008451,AGILENT probe A_24_P715924 (non-RefSeq),,,0.9719070772555376,3598,3702
A_24_P716162,1070748,A_24_P716162,1011736,AGILENT probe A_24_P716162 (non-RefSeq),,,0.899513776337115,3330,3702
A_24_P716249,1069754,A_24_P716249,1010977,AGILENT probe A_24_P716249 (non-RefSeq),,,0.9357104267963263,3464,3702
A_24_P717609,1062570,A_24_P717609,1006047,AGILENT probe A_24_P717609 (non-RefSeq),,,0.9519178822258239,3524,3702
A_24_P7181,1068875,A_24_P7181,1010274,AGILENT probe A_24_P7181 (non-RefSeq),,,0.9997298757428417,3701,3702
A_24_P718503,1018850,A_24_P718503,1003393,AGILENT probe A_24_P718503 (non-RefSeq),,,0.9997298757428417,3701,3702
A_24_P718672,1061196,A_24_P718672,1005141,AGILENT probe A_24_P718672 (non-RefSeq),,,0.5575364667747164,2064,3702
A_24_P718705,1063426,A_24_P718705,1006619,AGILENT probe A_24_P718705 (non-RefSeq),,,0.9430037817396002,3491,3702
A_24_P719096,1068886,A_24_P719096,1010281,AGILENT probe A_24_P719096 (non-RefSeq),,,0.7031334413830362,2603,3702
A_24_P719948,1061164,A_24_P719948,1005123,AGILENT probe A_24_P719948 (non-RefSeq),,,0.9478660183684495,3509,3702
A_24_P721730,1061684,A_24_P721730,1005455,AGILENT probe A_24_P721730 (non-RefSeq),,,0.9319286871961102,3450,3702
A_24_P721828,1064877,A_24_P721828,1007596,AGILENT probe A_24_P721828 (non-RefSeq),,,0.8841166936790924,3273,3702
A_24_P722068,1060270,A_24_P722068,1004520,AGILENT probe A_24_P722068 (non-RefSeq),,,0.8933009184224744,3307,3702
A_24_P722248,1063335,A_32_P26422,1006565,AGILENT probe A_24_P722248 (non-RefSeq),,,0.7196110210696921,2664,3702
A_24_P722292,1062352,A_24_P722292,1005900,AGILENT probe A_24_P722292 (non-RefSeq),,,0.5745542949756888,2127,3702
A_24_P722473,1068986,A_24_P722473,1010360,AGILENT probe A_24_P722473 (non-RefSeq),,,0.7468935710426796,2765,3702
A_24_P724106,1070752,A_24_P724106,1011740,AGILENT probe A_24_P724106 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P724984,1067264,A_24_P724984,1009197,AGILENT probe A_24_P724984 (non-RefSeq),,,0.8544030253916802,3163,3702
A_24_P725365,1070753,A_24_P725365,1011741,AGILENT probe A_24_P725365 (non-RefSeq),,,0.9519178822258239,3524,3702
A_24_P725895,1063604,A_24_P725895,1006718,AGILENT probe A_24_P725895 (non-RefSeq),,,0.777687736358725,2879,3702
A_24_P726215,1061261,A_24_P726215,1005178,AGILENT probe A_24_P726215 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P726399,1069817,A_24_P726399,1011024,AGILENT probe A_24_P726399 (non-RefSeq),,,0.5378173960021609,1991,3702
A_24_P727501,1061941,A_24_P727501,1005606,AGILENT probe A_24_P727501 (non-RefSeq),,,0.9378714208535927,3472,3702
A_24_P728006,1065022,A_24_P728006,1007697,AGILENT probe A_24_P728006 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P728115,1064569,A_24_P728115,1007389,AGILENT probe A_24_P728115 (non-RefSeq),,,0.8830361966504592,3269,3702
A_24_P730256,1069276,A_24_P730256,1010597,AGILENT probe A_24_P730256 (non-RefSeq),,,0.9991896272285251,3699,3702
A_24_P730805,1060457,A_32_P38003,1004647,AGILENT probe A_24_P730805 (non-RefSeq),,,0.894921663965424,3313,3702
A_24_P732127,1063578,A_32_P191735,1006699,AGILENT probe A_24_P732127 (non-RefSeq),,,0.9443544030253916,3496,3702
A_24_P732439,1070754,A_24_P732439,1011742,AGILENT probe A_24_P732439 (non-RefSeq),,,0.8614262560777958,3189,3702
A_24_P732565,1060010,A_24_P732565,1004320,AGILENT probe A_24_P732565 (non-RefSeq),,,0.9267963263101027,3431,3702
A_24_P7330,1063289,A_24_P7330,1006537,AGILENT probe A_24_P7330 (non-RefSeq),,,0.9910858995137763,3669,3702
A_24_P733308,1070172,A_32_P23731,1011239,AGILENT probe A_24_P733308 (non-RefSeq),,,1.0,3702,3702
A_24_P734060,1062995,A_24_P734060,1006341,AGILENT probe A_24_P734060 (non-RefSeq),,,0.9848730415991356,3646,3702
A_24_P734297,1012982,A_24_P734297,1001427,AGILENT probe A_24_P734297 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P734892,1070755,A_24_P734892,1011743,AGILENT probe A_24_P734892 (non-RefSeq),,,0.9983792544570502,3696,3702
A_24_P735283,1062855,A_24_P735283,1006240,AGILENT probe A_24_P735283 (non-RefSeq),,,0.9508373851971907,3520,3702
A_24_P735306,1068113,A_24_P735306,1009680,AGILENT probe A_24_P735306 (non-RefSeq),,,0.8435980551053485,3123,3702
A_24_P736617,1070756,A_24_P736617,1011744,AGILENT probe A_24_P736617 (non-RefSeq),,,1.0,3702,3702
A_24_P73738,1067649,A_24_P73738,1009419,AGILENT probe A_24_P73738 (non-RefSeq),,,0.9929767693138843,3676,3702
A_24_P737416,1062178,A_24_P737416,1005764,AGILENT probe A_24_P737416 (non-RefSeq),,,0.9975688816855753,3693,3702
A_24_P7380,1068869,A_24_P7380,1010268,AGILENT probe A_24_P7380 (non-RefSeq),,,0.9794705564559697,3626,3702
A_24_P738130,1067730,A_24_P738130,1009469,AGILENT probe A_24_P738130 (non-RefSeq),,,0.9819016747703944,3635,3702
A_24_P739075,1068264,A_24_P739075,1009798,AGILENT probe A_24_P739075 (non-RefSeq),,,1.0,3702,3702
A_24_P73962,1065315,A_24_P73962,1007900,AGILENT probe A_24_P73962 (non-RefSeq),,,0.9829821717990276,3639,3702
A_24_P740022,1070757,A_24_P740022,1011745,AGILENT probe A_24_P740022 (non-RefSeq),,,0.9991896272285251,3699,3702
A_24_P740549,1063487,A_24_P740549,1006640,AGILENT probe A_24_P740549 (non-RefSeq),,,0.9770394381415451,3617,3702
A_24_P740662,1070074,A_24_P740662,1011174,AGILENT probe A_24_P740662 (non-RefSeq),,,0.9800108049702864,3628,3702
A_24_P740857,1065145,A_24_P740857,1007788,AGILENT probe A_24_P740857 (non-RefSeq),,,0.9875742841707186,3656,3702
A_24_P740942,1068498,A_24_P740942,1009974,AGILENT probe A_24_P740942 (non-RefSeq),,,0.9962182603997839,3688,3702
A_24_P740962,1064549,A_24_P740962,1007377,AGILENT probe A_24_P740962 (non-RefSeq),,,0.8500810372771475,3147,3702
A_24_P741378,1067458,A_24_P741378,1009315,AGILENT probe A_24_P741378 (non-RefSeq),,,0.9986493787142086,3697,3702
A_24_P741529,1060325,A_24_P741529,1004560,AGILENT probe A_24_P741529 (non-RefSeq),,,0.9989195029713668,3698,3702
A_24_P744148,1062704,A_24_P744148,1006140,AGILENT probe A_24_P744148 (non-RefSeq),,,0.9667747163695299,3579,3702
A_24_P745883,1067058,A_24_P745883,1009054,AGILENT probe A_24_P745883 (non-RefSeq),,,0.9986493787142086,3697,3702
A_24_P746314,1070760,A_24_P746314,1011748,AGILENT probe A_24_P746314 (non-RefSeq),,,0.9921663965424095,3673,3702
A_24_P7470,1070761,A_24_P7470,1011749,AGILENT probe A_24_P7470 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P747012,1066614,A_32_P119604,1008746,AGILENT probe A_24_P747012 (non-RefSeq),,,0.6601836844948676,2444,3702
A_24_P74731,1020482,A_24_P74731,1003754,AGILENT probe A_24_P74731 (non-RefSeq),,,0.9972987574284171,3692,3702
A_24_P747419,1064371,A_32_P227648,1007249,AGILENT probe A_24_P747419 (non-RefSeq),,,0.9729875742841707,3602,3702
A_24_P747721,1060190,A_32_P89480,1004460,AGILENT probe A_24_P747721 (non-RefSeq),,,0.5613182063749325,2078,3702
A_24_P74828,1068251,A_24_P74828,1009787,AGILENT probe A_24_P74828 (non-RefSeq),,,0.9624527282549973,3563,3702
A_24_P748377,1065694,A_24_P748377,1008153,AGILENT probe A_24_P748377 (non-RefSeq),,,0.9575904916261481,3545,3702
A_24_P748389,1066780,A_24_P935400,1008862,AGILENT probe A_24_P748389 (non-RefSeq),,,0.8908698001080497,3298,3702
A_24_P748738,1067562,A_32_P51518,1009377,AGILENT probe A_24_P748738 (non-RefSeq),,,0.9986493787142086,3697,3702
A_24_P749042,1062088,A_24_P749042,1005708,AGILENT probe A_24_P749042 (non-RefSeq),,,0.8914100486223663,3300,3702
A_24_P7494,1066729,A_24_P7494,1008829,AGILENT probe A_24_P7494 (non-RefSeq),,,0.5129659643435981,1899,3702
A_24_P74997,1059816,A_32_P113007,1004175,AGILENT probe A_24_P74997 (non-RefSeq),,,0.791464073473798,2930,3702
A_24_P7510,1071164,A_24_P7510,1012152,AGILENT probe A_24_P7510 (non-RefSeq),,,0.8876283090221502,3286,3702
A_24_P751008,1059958,A_24_P751008,1004280,AGILENT probe A_24_P751008 (non-RefSeq),,,0.6645056726094003,2460,3702
A_24_P751247,1065460,A_24_P751247,1007995,AGILENT probe A_24_P751247 (non-RefSeq),,,0.8257698541329012,3057,3702
A_24_P752208,1069395,A_24_P752208,1010697,AGILENT probe A_24_P752208 (non-RefSeq),,,0.686385737439222,2541,3702
A_24_P752279,1059956,A_24_P752279,1004279,AGILENT probe A_24_P752279 (non-RefSeq),,,0.9986493787142086,3697,3702
A_24_P752362,1070763,A_24_P752362,1011751,AGILENT probe A_24_P752362 (non-RefSeq),,,0.9940572663425176,3680,3702
A_24_P752496,1067858,A_24_P752496,1009551,AGILENT probe A_24_P752496 (non-RefSeq),,,0.9683954619124797,3585,3702
A_24_P75324,1061266,A_24_P75324,1005180,AGILENT probe A_24_P75324 (non-RefSeq),,,0.9832522960561858,3640,3702
A_24_P753638,1070764,A_24_P753638,1011752,AGILENT probe A_24_P753638 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P753760,1070765,A_24_P753760,1011753,AGILENT probe A_24_P753760 (non-RefSeq),,,0.9991896272285251,3699,3702
A_24_P75399,1068504,A_24_P75399,1009980,AGILENT probe A_24_P75399 (non-RefSeq),,,0.9943273905996759,3681,3702
A_24_P75469,1069549,A_24_P75469,1010826,AGILENT probe A_24_P75469 (non-RefSeq),,,1.0,3702,3702
A_24_P755169,1065965,A_24_P755169,1008309,AGILENT probe A_24_P755169 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P755505,1070766,A_24_P755505,1011754,AGILENT probe A_24_P755505 (non-RefSeq),,,0.9997298757428417,3701,3702
A_24_P756494,1066673,A_32_P207848,1008790,AGILENT probe A_24_P756494 (non-RefSeq),,,0.9281469475958941,3436,3702
A_24_P75700,1062402,A_24_P75700,1005930,AGILENT probe A_24_P75700 (non-RefSeq),,,0.9024851431658563,3341,3702
A_24_P75708,1064149,A_24_P75708,1007104,AGILENT probe A_24_P75708 (non-RefSeq),,,0.9424635332252836,3489,3702
A_24_P757154,1064740,A_24_P757154,1007507,AGILENT probe A_24_P757154 (non-RefSeq),,,0.9781199351701783,3621,3702
A_24_P75718,1071166,A_24_P75718,1012154,AGILENT probe A_24_P75718 (non-RefSeq),,,0.9989195029713668,3698,3702
A_24_P75748,1070767,A_24_P75748,1011755,AGILENT probe A_24_P75748 (non-RefSeq),,,0.9873041599135602,3655,3702
A_24_P75840,1071167,A_24_P75840,1012155,AGILENT probe A_24_P75840 (non-RefSeq),,,0.5678011885467315,2102,3702
A_24_P75888,1070768,A_24_P75888,1011756,AGILENT probe A_24_P75888 (non-RefSeq),,,0.702052944354403,2599,3702
A_24_P75948,1070770,A_24_P75948,1011758,AGILENT probe A_24_P75948 (non-RefSeq),,,0.8527822798487305,3157,3702
A_24_P759496,1064563,A_24_P759496,1007385,AGILENT probe A_24_P759496 (non-RefSeq),,,0.548892490545651,2032,3702
A_24_P759747,1062455,A_24_P759747,1005961,AGILENT probe A_24_P759747 (non-RefSeq),,,0.9189627228525121,3402,3702
A_24_P75979,1067974,A_24_P75979,1009603,AGILENT probe A_24_P75979 (non-RefSeq),,,0.9262560777957861,3429,3702
A_24_P75994,1066900,A_24_P75994,1008947,AGILENT probe A_24_P75994 (non-RefSeq),,,0.9983792544570502,3696,3702
A_24_P759955,1069111,A_24_P759955,1010453,AGILENT probe A_24_P759955 (non-RefSeq),,,0.8611561318206374,3188,3702
A_24_P76008,1065425,A_24_P76008,1007973,AGILENT probe A_24_P76008 (non-RefSeq),,,0.9340896812533765,3458,3702
A_24_P760708,1067133,A_24_P760708,1009108,AGILENT probe A_24_P760708 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P761386,1065568,A_24_P761386,1008062,AGILENT probe A_24_P761386 (non-RefSeq),,,0.6809832522960562,2521,3702
A_24_P76142,1063342,A_24_P76142,1006571,AGILENT probe A_24_P76142 (non-RefSeq),,,0.9678552133981632,3583,3702
A_24_P761490,1070771,A_24_P761490,1011759,AGILENT probe A_24_P761490 (non-RefSeq),,,1.0,3702,3702
A_24_P76169,1068225,A_24_P76169,1009765,AGILENT probe A_24_P76169 (non-RefSeq),,,0.9991896272285251,3699,3702
A_24_P761818,1069313,A_24_P761818,1010625,AGILENT probe A_24_P761818 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P76210,1068809,A_24_P76210,1010216,AGILENT probe A_24_P76210 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P76288,1069049,A_24_P76288,1010406,AGILENT probe A_24_P76288 (non-RefSeq),,,0.8970826580226904,3321,3702
A_24_P762886,1069739,A_24_P762886,1010965,AGILENT probe A_24_P762886 (non-RefSeq),,,0.9978390059427337,3694,3702
A_24_P763361,1065201,A_24_P814444,1007822,AGILENT probe A_24_P763361 (non-RefSeq),,,0.897622906537007,3323,3702
A_24_P76358,1069436,A_24_P76358,1010730,AGILENT probe A_24_P76358 (non-RefSeq),,,0.9921663965424095,3673,3702
A_24_P763655,1070772,A_24_P763655,1011760,AGILENT probe A_24_P763655 (non-RefSeq),,,0.8962722852512156,3318,3702
A_24_P764595,1068826,A_24_P764595,1010233,AGILENT probe A_24_P764595 (non-RefSeq),,,1.0,3702,3702
A_24_P76512,1070141,A_24_P76512,1011218,AGILENT probe A_24_P76512 (non-RefSeq),,,0.6853052404105888,2537,3702
A_24_P765448,1062836,A_32_P25631,1006226,AGILENT probe A_24_P765448 (non-RefSeq),,,0.5634792004321988,2086,3702
A_24_P765569,1060290,A_32_P8067,1004534,AGILENT probe A_24_P765569 (non-RefSeq),,,0.9989195029713668,3698,3702
A_24_P765784,1068575,A_24_P765784,1010036,AGILENT probe A_24_P765784 (non-RefSeq),,,0.998109130199892,3695,3702
A_24_P765795,1062449,A_24_P765795,1005956,AGILENT probe A_24_P765795 (non-RefSeq),,,0.9989195029713668,3698,3702
A_24_P765923,1063293,A_32_P110485,1006540,AGILENT probe A_24_P765923 (non-RefSeq),,,0.9991896272285251,3699,3702
A_24_P766205,1070773,A_24_P766205,1011761,AGILENT probe A_24_P766205 (non-RefSeq),,,0.9989195029713668,3698,3702
A_24_P76644,1065335,A_24_P76644,1007915,AGILENT probe A_24_P76644 (non-RefSeq),,,0.9991896272285251,3699,3702
A_24_P766854,1061680,A_32_P174214,1005451,AGILENT probe A_24_P766854 (non-RefSeq),,,0.9972987574284171,3692,3702
A_24_P766865,1065832,A_24_P766865,1008218,AGILENT probe A_24_P766865 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P767725,1066878,A_24_P767725,1008927,AGILENT probe A_24_P767725 (non-RefSeq),,,0.7744462452728255,2867,3702
A_24_P76809,1064712,A_24_P76809,1007485,AGILENT probe A_24_P76809 (non-RefSeq),,,0.899513776337115,3330,3702
A_24_P76898,1063302,A_24_P76898,1006545,AGILENT probe A_24_P76898 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P769096,1068667,A_24_P769096,1010104,AGILENT probe A_24_P769096 (non-RefSeq),,,0.5567260940032415,2061,3702
A_24_P770494,1070295,A_24_P770494,1011320,AGILENT probe A_24_P770494 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P770721,1067111,A_24_P770721,1009092,AGILENT probe A_24_P770721 (non-RefSeq),,,0.8354943273905997,3093,3702
A_24_P771278,1070774,A_24_P771278,1011762,AGILENT probe A_24_P771278 (non-RefSeq),,,0.9713668287412209,3596,3702
A_24_P772103,1066080,A_24_P772103,1008398,AGILENT probe A_24_P772103 (non-RefSeq),,,0.9600216099405726,3554,3702
A_24_P772330,1064061,A_32_P235293,1007043,AGILENT probe A_24_P772330 (non-RefSeq),,,0.9403025391680173,3481,3702
A_24_P772450,1062182,A_24_P772450,1005767,AGILENT probe A_24_P772450 (non-RefSeq),,,0.8581847649918962,3177,3702
A_24_P773958,1068978,A_24_P773958,1010352,AGILENT probe A_24_P773958 (non-RefSeq),,,0.995407887628309,3685,3702
A_24_P7750,1069661,CUST_2984_PI416261804,1010918,AGILENT probe A_24_P7750 (non-RefSeq),,,0.9813614262560778,3633,3702
A_24_P776523,1064680,A_32_P58062,1007462,AGILENT probe A_24_P776523 (non-RefSeq),,,0.9113992436520799,3374,3702
A_24_P777185,1061468,A_24_P777185,1005299,AGILENT probe A_24_P777185 (non-RefSeq),,,0.9643435980551054,3570,3702
A_24_P7785,1067246,A_24_P7785,1009187,AGILENT probe A_24_P7785 (non-RefSeq),,,0.9997298757428417,3701,3702
A_24_P778607,1064177,A_24_P778607,1007123,AGILENT probe A_24_P778607 (non-RefSeq),,,0.9065370070232307,3356,3702
A_24_P778928,1068644,A_24_P778928,1010085,AGILENT probe A_24_P778928 (non-RefSeq),,,0.9975688816855753,3693,3702
A_24_P779605,1066350,A_24_P779605,1008569,AGILENT probe A_24_P779605 (non-RefSeq),,,0.9989195029713668,3698,3702
A_24_P780319,1069215,A_24_P780319,1010543,AGILENT probe A_24_P780319 (non-RefSeq),,,0.9873041599135602,3655,3702
A_24_P780393,1063593,A_24_P780393,1006709,AGILENT probe A_24_P780393 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P780609,1063944,A_24_P780609,1006961,AGILENT probe A_24_P780609 (non-RefSeq),,,0.9986493787142086,3697,3702
A_24_P780709,1070776,A_24_P780709,1011764,AGILENT probe A_24_P780709 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P783433,1064672,A_32_P209770,1007459,AGILENT probe A_24_P783433 (non-RefSeq),,,0.9848730415991356,3646,3702
A_24_P783679,1068815,A_24_P783679,1010222,AGILENT probe A_24_P783679 (non-RefSeq),,,0.9997298757428417,3701,3702
A_24_P784954,1061685,A_24_P784954,1005456,AGILENT probe A_24_P784954 (non-RefSeq),,,0.9670448406266883,3580,3702
A_24_P785853,1067444,A_24_P785853,1009303,AGILENT probe A_24_P785853 (non-RefSeq),,,0.8346839546191248,3090,3702
A_24_P785894,1067504,A_24_P785894,1009337,AGILENT probe A_24_P785894 (non-RefSeq),,,0.8654781199351702,3204,3702
A_24_P786025,1063630,A_24_P786025,1006740,AGILENT probe A_24_P786025 (non-RefSeq),,,0.9864937871420854,3652,3702
A_24_P786257,1070779,A_24_P786257,1011767,AGILENT probe A_24_P786257 (non-RefSeq),,,0.990815775256618,3668,3702
A_24_P786912,1066399,A_24_P786912,1008602,AGILENT probe A_24_P786912 (non-RefSeq),,,0.8752025931928687,3240,3702
A_24_P787680,1064806,A_32_P79345,1007551,AGILENT probe A_24_P787680 (non-RefSeq),,,0.728795245813074,2698,3702
A_24_P787914,1069000,A_24_P787914,1010368,AGILENT probe A_24_P787914 (non-RefSeq),,,0.9883846569421935,3659,3702
A_24_P788227,1066457,A_24_P788227,1008645,AGILENT probe A_24_P788227 (non-RefSeq),,,0.697460831982712,2582,3702
A_24_P789033,1064794,A_24_P789033,1007544,AGILENT probe A_24_P789033 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P789425,1071169,A_24_P789425,1012157,AGILENT probe A_24_P789425 (non-RefSeq),,,0.9767693138843868,3616,3702
A_24_P789842,1070780,A_24_P789842,1011768,AGILENT probe A_24_P789842 (non-RefSeq),,,0.9997298757428417,3701,3702
A_24_P790424,1060310,A_24_P790424,1004548,AGILENT probe A_24_P790424 (non-RefSeq),,,0.9810913019989195,3632,3702
A_24_P790909,1060719,A_24_P790909,1004839,AGILENT probe A_24_P790909 (non-RefSeq),,,0.9837925445705025,3642,3702
A_24_P791968,1064276,A_24_P791968,1007185,AGILENT probe A_24_P791968 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P792389,1065360,A_24_P792389,1007933,AGILENT probe A_24_P792389 (non-RefSeq),,,0.6861156131820637,2540,3702
A_24_P792679,1066560,A_24_P792679,1008714,AGILENT probe A_24_P792679 (non-RefSeq),,,0.580226904376013,2148,3702
A_24_P794366,1061343,A_24_P794366,1005212,AGILENT probe A_24_P794366 (non-RefSeq),,,0.8792544570502431,3255,3702
A_24_P794515,1066941,A_24_P794515,1008971,AGILENT probe A_24_P794515 (non-RefSeq),,,0.9970286331712588,3691,3702
A_24_P794833,1067869,A_24_P794833,1009555,AGILENT probe A_24_P794833 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P795106,1070241,A_24_P795106,1011287,AGILENT probe A_24_P795106 (non-RefSeq),,,0.8892490545651,3292,3702
A_24_P795283,1063997,A_32_P166152,1007000,AGILENT probe A_24_P795283 (non-RefSeq),,,0.9937871420853592,3679,3702
A_24_P796274,1066039,A_24_P796274,1008369,AGILENT probe A_24_P796274 (non-RefSeq),,,0.9986493787142086,3697,3702
A_24_P79631,1065923,A_24_P79631,1008274,AGILENT probe A_24_P79631 (non-RefSeq),,,0.9948676391139925,3683,3702
A_24_P796428,1070782,A_24_P796428,1011770,AGILENT probe A_24_P796428 (non-RefSeq),,,0.9635332252836305,3567,3702
A_24_P7974,1059923,A_32_P31355,1004256,AGILENT probe A_24_P7974 (non-RefSeq),,,0.9951377633711507,3684,3702
A_24_P798709,1061229,A_24_P798709,1005157,AGILENT probe A_24_P798709 (non-RefSeq),,,0.9819016747703944,3635,3702
A_24_P799580,1070783,A_24_P799580,1011771,AGILENT probe A_24_P799580 (non-RefSeq),,,0.8727714748784441,3231,3702
A_24_P800824,1059843,A_24_P800824,1004198,AGILENT probe A_24_P800824 (non-RefSeq),,,0.5772555375472718,2137,3702
A_24_P802562,1065093,A_32_P49284,1007747,AGILENT probe A_24_P802562 (non-RefSeq),,,1.0,3702,3702
A_24_P802894,1060804,A_24_P802894,1004899,AGILENT probe A_24_P802894 (non-RefSeq),,,0.8997839005942734,3331,3702
A_24_P804216,1062622,A_24_P804216,1006081,AGILENT probe A_24_P804216 (non-RefSeq),,,0.848730415991356,3142,3702
A_24_P804267,1068710,A_24_P804267,1010141,AGILENT probe A_24_P804267 (non-RefSeq),,,0.8454889249054565,3130,3702
A_24_P805601,1065960,A_24_P805601,1008304,AGILENT probe A_24_P805601 (non-RefSeq),,,0.5086439762290653,1883,3702
A_24_P80571,1063189,A_24_P80571,1006477,AGILENT probe A_24_P80571 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P807301,1068923,A_32_P1543,1010309,AGILENT probe A_24_P807301 (non-RefSeq),,,0.98892490545651,3661,3702
A_24_P807883,1064067,A_32_P123106,1007048,AGILENT probe A_24_P807883 (non-RefSeq),,,0.9305780659103188,3445,3702
A_24_P807935,1068678,A_24_P807935,1010114,AGILENT probe A_24_P807935 (non-RefSeq),,,0.5537547271745002,2050,3702
A_24_P808016,1067462,A_24_P808016,1009317,AGILENT probe A_24_P808016 (non-RefSeq),,,0.7809292274446246,2891,3702
A_24_P808595,1065424,A_32_P142827,1007972,AGILENT probe A_24_P808595 (non-RefSeq),,,0.875472717450027,3241,3702
A_24_P808838,1069626,CUST_3801_PI416261804,1010891,AGILENT probe A_24_P808838 (non-RefSeq),,,0.7301458670988655,2703,3702
A_24_P810084,1063490,A_24_P810084,1006643,AGILENT probe A_24_P810084 (non-RefSeq),,,0.9573203673689897,3544,3702
A_24_P810104,1064369,A_24_P810104,1007248,AGILENT probe A_24_P810104 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P811014,1070786,A_24_P811014,1011774,AGILENT probe A_24_P811014 (non-RefSeq),,,0.9910858995137763,3669,3702
A_24_P81149,1066649,A_24_P81149,1008771,AGILENT probe A_24_P81149 (non-RefSeq),,,0.8851971907077255,3277,3702
A_24_P812155,1064175,A_32_P152237,1007121,AGILENT probe A_24_P812155 (non-RefSeq),,,0.9851431658562939,3647,3702
A_24_P812265,1070787,A_24_P812265,1011775,AGILENT probe A_24_P812265 (non-RefSeq),,,0.7579686655861696,2806,3702
A_24_P8130,1018146,A_24_P8130,1003194,AGILENT probe A_24_P8130 (non-RefSeq),,,0.9997298757428417,3701,3702
A_24_P813730,1060403,A_24_P813730,1004616,AGILENT probe A_24_P813730 (non-RefSeq),,,0.7949756888168558,2943,3702
A_24_P8140,1068241,A_24_P8140,1009778,AGILENT probe A_24_P8140 (non-RefSeq),,,0.9986493787142086,3697,3702
A_24_P814096,1070788,A_24_P814096,1011776,AGILENT probe A_24_P814096 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P814872,1012574,A_24_P814872,1001215,AGILENT probe A_24_P814872 (non-RefSeq),,,0.9991896272285251,3699,3702
A_24_P815062,1065982,A_24_P834210,1008324,AGILENT probe A_24_P815062 (non-RefSeq),,,0.9529983792544571,3528,3702
A_24_P815792,1065713,A_32_P93352,1008161,AGILENT probe A_24_P815792 (non-RefSeq),,,0.9964883846569422,3689,3702
A_24_P816844,1066191,A_24_P816844,1008474,AGILENT probe A_24_P816844 (non-RefSeq),,,0.9886547811993517,3660,3702
A_24_P817209,1065597,A_32_P224751,1008083,AGILENT probe A_24_P817209 (non-RefSeq),,,0.8903295515937332,3296,3702
A_24_P817490,1063906,A_32_P194742,1006933,AGILENT probe A_24_P817490 (non-RefSeq),,,0.7941653160453809,2940,3702
A_24_P819729,1065846,A_24_P819729,1008228,AGILENT probe A_24_P819729 (non-RefSeq),,,0.9991896272285251,3699,3702
A_24_P8200,1062546,A_24_P8200,1006025,AGILENT probe A_24_P8200 (non-RefSeq),,,0.9195029713668288,3404,3702
A_24_P820087,1062429,A_32_P57702,1005948,AGILENT probe A_24_P820087 (non-RefSeq),,,0.9994597514856834,3700,3702
A_24_P820302,1070789,A_24_P820302,1011777,AGILENT probe A_24_P820302 (non-RefSeq),,,0.8268503511615343,3061,3702
A_24_P820372,1067840,A_24_P820372,1009541,AGILENT probe A_24_P820372 (non-RefSeq),,,0.7563479200432199,2800,3702
A_24_P820663,1062764,A_24_P820663,1006183,AGILENT probe A_24_P820663 (non-RefSeq),,,0.6377633711507293,2361,3702
