gene_symbol
ARF4P1
ARHGAP27
ARL17B
ASS1P14
ATXN7L3-AS1
BICD1-AS1
CASC16
CCN6
CCNT2-AS1
CCSER1
CD83P1
CDC42BPB
CYCSP42
CYRIB
EFNA4-EFNA3
EHMT2-AS1
FAM47E-STBD1
FMNL1-DT
GBA1
GPR89P
GXYLT1
H2ACP1
HASPIN
HCAR2
HMGB1P13
HMGN2P18
HYCC1
IFTAP
IGBP1P1
IGSF9B
ITPKB-IT1
KANSL1
KLHL7-DT
LAMTOR2
LCORL
LDLRAD4
LINC00456
LINC01012
LINC01147
LINC01307
LINC01365
LINC01709
LINC02034
LINC02210
LINC02210-CRHR1
LINC02240
LINC02349
LINC02353
LINC02400
LINC02450
LINC02527
LINC02555
LINC02920
LNCOB1
LRRK2-DT
LZTS3
MAP9-AS1
MAPRE1P2
MCCC1-AS1
METAZOA_SRP
MIR4485
MIR4682
MTCO1P48
MTCO3P1
NECTIN2
OR5AZ1P
OR5BD1P
PHB1P21
PIK3CA-DT
PLA2G10FP
PLPP4
PLPPR1
PMF1-BGLAP
PRKN
PWRN4
RAB29
RABGEF1P1
RAD1P1
RETREG3
RN7SKP10
RN7SL261P
RN7SL474P
RN7SL813P
RNA5SP102
RNA5SP443
RNA5SP455
RNA5SP74
RNU4-66P
RNU6-259P
RNU6-400P
RNU6-471P
RNU6-472P
RNU6-481P
RNU6-835P
RPL13AP21
RPL7AP56
RSL24D1P1
SERTM1
SLC18B1
SLC50A1
SMARCAD1-DT
SNCA-AS1
SPPL2C
SPRING1P3
SRP54-AS1
SRSF10P1
SV2C-AS2
TMEM229B
TPRA1
TSBP1-AS1
TXNP1
Y_RNA
ZNF204P
