gene_symbol,number_of_available_probes,number_of_reliable_probes,best_detection_rate
ADRB3,2,0,0.2628309022150189
AFAP1-AS1,2,0,0.2522960561858455
AFM,2,0,0.010264721772015126
AFP,1,0,0.050783360345759046
AGPAT2,2,0,0.4821717990275527
AGR2,2,0,0.02215018908698001
AGR3,2,0,0.04321988114532685
AGTR1,2,0,0.025661804430037818
AGTR2,3,0,0.011615343057806591
AGXT2,2,0,0.011885467314964884
AICDA,2,0,0.013776337115072933
AIM1,2,0,0.10723933009184225
AIM1L,3,0,0.09886547811993517
AIPL1,2,0,0.002701242571582928
AK7,2,0,0.3017287952458131
AKAP14,5,0,0.44570502431118314
AKAP3,2,0,0.04267963263101027
AKAP4,3,0,0.012965964343598054
AKNA,2,0,0.1091301998919503
AKR1B10,3,0,0.07185305240410589
AKR1C2,1,0,0.020799567801188548
AKR1CL1,2,0,0.05753646677471637
AKR1D1,2,0,0.004051863857374392
AL109758.1,2,0,0.015667206915180983
AL109938.1,2,0,0.007833603457590491
AL136139.1,2,0,0.004051863857374392
AL139377.1,2,0,0.09454349000540249
AL355922.1,1,0,0.08670988654781199
AL355985.2,2,0,0.01917882225823879
AL358813.3,1,0,0.0024311183144246355
AL359392.2,2,0,0.2034035656401945
ALDH1A2,2,0,0.08130740140464614
ALDH3A1,3,0,0.2863317125877904
ALDH3B2,2,0,0.22042139384116693
ALDOB,2,0,0.2814694759589411
ALG1L2,1,0,0.0037817396002160996
ALLC,2,0,0.023500810372771474
ALOX12,2,0,0.07401404646137223
ALOX15,3,0,0.050783360345759046
ALPI,2,0,0.3333333333333333
ALPK2,2,0,0.007293354943273906
ALPK3,2,0,0.12695840086439764
ALX1,2,0,0.2517558076715289
ALX4,2,0,0.02404105888708806
AMBN,2,0,0.20205294435440302
AMBP,2,0,0.10669908157752567
AMELX,3,0,0.020799567801188548
AMELY,2,0,0.2809292274446245
AMHR2,2,0,0.2547271745002701
AMPD1,1,0,0.004862236628849271
AMTN,2,0,0.004051863857374392
ANGPTL1,2,0,0.4392220421393841
ANGPTL3,2,0,0.01431658562938952
ANGPTL5,2,0,0.020529443544030253
ANGPTL7,2,0,0.13263101026472177
ANKFN1,2,0,0.16315505132360886
ANKLE1,2,0,0.1720691518098325
ANKMY1,3,0,0.28038897893030795
ANKRD1,2,0,0.011615343057806591
ANKRD20A7P,1,0,0.2782279848730416
ANKRD22,3,0,0.3681793625067531
ANKRD30A,2,0,0.006212857914640735
ANKRD31,2,0,0.39384116693679094
ANKRD34B,2,0,0.2668827660723933
ANKRD36,2,0,0.005132360886007563
ANKRD5,2,0,0.29902755267423015
ANKRD55,3,0,0.4816315505132361
ANKRD60,1,0,0.012965964343598054
ANKRD62,1,0,0.41220961642355486
ANKRD7,2,0,0.4313884386817936
ANKS4B,2,0,0.007023230686115613
ANO1,2,0,0.3684494867639114
