structure_id,structure_acronym,structure_name,number_of_donors,coordinate_donor_count,mni_x,mni_y,mni_z,parkinsons_expression_score,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05
4679,PHA,"posterior hypothalamic area, left",6,6,-4.716666666666667,-9.200000000000001,-3.9333333333333336,-0.27808213,0.6062167,0.2730726927307269,0.6940597606905976,False
4310,DBv,"nucleus of the diagonal band, left, horizontal division",4,4,-6.875,5.25,2.75,-0.29288492,0.6838041,0.2468753124687531,0.6940597606905976,False
4573,PVH,"paraventricular nucleus of the hypothalamus, left",5,5,-4.07,-1.0400000000000003,-0.53,-0.29446068,-0.025835559,0.5023497650234976,0.8839423749932699,False
4741,He-VIIB,"VIIB, left, lateral hemisphere",6,6,-29.066666666666666,-66.71666666666667,-55.10833333333333,-0.3128075,-1.2198167,0.887011298870113,0.9922007799220078,False
4709,Ve-VIIIA,VIIIA,4,4,0.8625,-71.2375,-43.6125,-0.31629863,-1.3871404,0.9172082791720828,0.9922007799220078,False
4727,PV-VIIIB,"VIIIB, left, paravermis",5,5,-9.73,-60.2,-56.15,-0.31805733,-1.5186285,0.9367063293670632,0.9922007799220078,False
4703,Ve-V,V,4,4,0.8666666666666667,-64.675,-4.658333333333334,-0.3186734,-1.5148382,0.9347065293470652,0.9922007799220078,False
4722,PV-VI,"VI, left, paravermis",6,6,-8.424999999999999,-73.73333333333333,-15.958333333333334,-0.32861087,-1.4774684,0.932106789321068,0.9922007799220078,False
4720,PV-V,"V, left, paravermis",6,6,-8.416666666666666,-59.699999999999996,-8.308333333333334,-0.34013736,-1.5259292,0.9355064493550644,0.9922007799220078,False
4743,He-VIIIB,"VIIIB, left, lateral hemisphere",4,4,-22.0,-46.0,-56.75,-0.3460345,-1.484369,0.931906809319068,0.9922007799220078,False
4739,He-Crus I,"Crus I, left, lateral hemisphere",6,6,-30.125,-81.24166666666666,-31.441666666666666,-0.35048753,-1.3618022,0.911908809119088,0.9922007799220078,False
4723,PV-Crus I,"Crus I, left, paravermis",6,6,-8.6,-84.23333333333333,-24.641666666666666,-0.35294378,-1.2114577,0.8867113288671132,0.9922007799220078,False
4724,PV-Crus II,"Crus II, left, paravermis",5,5,-8.559999999999999,-86.14,-38.980000000000004,-0.35392103,-1.4424961,0.9251074892510748,0.9922007799220078,False
4667,TM,"tuberomammillary nucleus, left",4,4,-9.25,-4.75,-10.5,-0.3549086,1.4651706,0.0717928207179282,0.3649468386494684,False
4736,He-V,"V, left, lateral hemisphere",4,4,-23.25,-45.8125,-19.625,-0.35587886,-1.2173138,0.8888111188881112,0.9922007799220078,False
4725,PV-VIIB,"VIIB, left, paravermis",6,6,-8.933333333333334,-74.41666666666667,-48.550000000000004,-0.36654645,-1.4636728,0.929007099290071,0.9922007799220078,False
4740,He-Crus II,"Crus II, left, lateral hemisphere",6,6,-29.916666666666668,-79.70416666666667,-44.199999999999996,-0.3682254,-1.2249998,0.8872112788721128,0.9922007799220078,False
4742,He-VIIIA,"VIIIA, left, lateral hemisphere",5,5,-28.580000000000002,-63.5,-57.9,-0.36928165,-1.5705826,0.9424057594240576,0.9922007799220078,False
4711,Ve-IX,IX,4,4,0.65,-55.35,-36.95,-0.3732909,-1.7818482,0.9646035396460354,0.9922007799220078,False
4726,PV-VIIIA,"VIIIA, left, paravermis",5,5,-9.709999999999999,-69.42,-52.32000000000001,-0.3799011,-1.4124335,0.921007899210079,0.9922007799220078,False
4648,PeF,"perifornical nucleus, left",4,4,-8.875,-3.625,-9.0,-0.39027375,0.36562943,0.3580641935806419,0.7298936772989368,False
10151,LTu,"lateral tuberal nucleus, left",4,4,-12.0,-4.75,-9.5,-0.39414644,1.4001226,0.0790920907909209,0.3911852058037439,False
4707,Ve-VIIAt,VIIAt,4,4,0.5625000000000001,-84.95,-29.3375,-0.4064479,-1.0913547,0.8608139186081392,0.9922007799220078,False
