gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome
RORA,1024341,A_32_P7721,6063,RAR-related orphan receptor A,6095.0,15
RPL10,1052085,A_23_P217666,6102,ribosomal protein L10,6134.0,X
RPL10,1052086,A_24_P754803,6102,ribosomal protein L10,6134.0,X
RPL10,1052087,A_32_P161166,6102,ribosomal protein L10,6134.0,X
RPL13AP3,1012847,CUST_162_PI417507815,166802,ribosomal protein L13a pseudogene 3,645683.0,14
RPL3,1052118,A_23_P68942,6090,ribosomal protein L3,6122.0,22
RPL3,1052119,A_32_P176344,6090,ribosomal protein L3,6122.0,22
RPS6KL1,1038074,A_24_P219108,57936,ribosomal protein S6 kinase-like 1,83694.0,14
RPS6KL1,1038075,A_24_P153547,57936,ribosomal protein S6 kinase-like 1,83694.0,14
SCARB2,1058448,A_23_P386514,945,"scavenger receptor class B, member 2",950.0,4
SCARB2,1058449,A_24_P54879,945,"scavenger receptor class B, member 2",950.0,4
SCN2A,1022204,CUST_547_PI416408490,6291,"sodium channel, voltage-gated, type II, alpha subunit",6326.0,2
SCN2A,1022205,A_23_P51019,6291,"sodium channel, voltage-gated, type II, alpha subunit",6326.0,2
SCN2A,1022206,CUST_16292_PI416261804,6291,"sodium channel, voltage-gated, type II, alpha subunit",6326.0,2
SCN2A,1022207,CUST_548_PI416408490,6291,"sodium channel, voltage-gated, type II, alpha subunit",6326.0,2
SEC23IP,1046486,A_23_P202602,11036,SEC23 interacting protein,11196.0,10
SEC23IP,1046487,A_24_P227017,11036,SEC23 interacting protein,11196.0,10
SEMA4A,1039940,A_23_P23438,40851,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A",64218.0,1
SEMA4A,1039941,CUST_863_PI416261804,40851,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A",64218.0,1
SETD1A,1023898,A_23_P129678,9595,SET domain containing 1A,9739.0,16
SETD1A,1023899,CUST_10043_PI416261804,9595,SET domain containing 1A,9739.0,16
SH2B1,1013795,CUST_11979_PI416261804,25719,SH2B adaptor protein 1,25970.0,16
SH2B1,1019011,A_24_P185029,25719,SH2B adaptor protein 1,25970.0,16
SH3GL2,1051629,A_23_P169351,6420,SH3-domain GRB2-like 2,6456.0,9
