gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome
GPR65,1049669,A_23_P14564,8413,G protein-coupled receptor 65,8477.0,14
GPR65,1049670,CUST_14959_PI416261804,8413,G protein-coupled receptor 65,8477.0,14
GPRIN3,1021672,A_24_P76649,94594,GPRIN family member 3,285513.0,4
GPRIN3,1021673,CUST_390_PI416261804,94594,GPRIN family member 3,285513.0,4
GUSBP2,1010976,A_32_P92654,122133,"glucuronidase, beta pseudogene 2",387036.0,6
HEATR6,1040127,A_23_P77965,40540,HEAT repeat containing 6,63897.0,17
HEATR6,1040128,CUST_1458_PI416261804,40540,HEAT repeat containing 6,63897.0,17
HIP1R,1049068,A_23_P398294,8906,huntingtin interacting protein 1 related,9026.0,12
HIP1R,1049069,A_24_P229164,8906,huntingtin interacting protein 1 related,9026.0,12
HLA-DQA1,1018703,CUST_4646_PI416261804,3099,"major histocompatibility complex, class II, DQ alpha 1",3117.0,6
HLA-DQA1,1021190,A_24_P326084,3099,"major histocompatibility complex, class II, DQ alpha 1",3117.0,6
HLA-DQA1,1055658,A_24_P196827,3099,"major histocompatibility complex, class II, DQ alpha 1",3117.0,6
HLA-DQA1,1055659,CUST_3141_PI416261804,3099,"major histocompatibility complex, class II, DQ alpha 1",3117.0,6
HLA-DQA1,1055660,A_24_P393230,3099,"major histocompatibility complex, class II, DQ alpha 1",3117.0,6
HLA-DQB1,1055654,A_23_P136683,3101,"major histocompatibility complex, class II, DQ beta 1",3119.0,6
HLA-DQB1,1055655,A_24_P239676,3101,"major histocompatibility complex, class II, DQ beta 1",3119.0,6
HLA-DRA,1055652,A_32_P115555,3104,"major histocompatibility complex, class II, DR alpha",3122.0,6
HLA-DRA,1055653,A_32_P87697,3104,"major histocompatibility complex, class II, DR alpha",3122.0,6
HLA-DRB1,1055650,A_24_P343233,3105,"major histocompatibility complex, class II, DR beta 1",3123.0,6
HLA-DRB1,1055651,A_23_P31006,3105,"major histocompatibility complex, class II, DR beta 1",3123.0,6
INPP5F,1046229,A_24_P4426,22632,inositol polyphosphate-5-phosphatase F,22876.0,10
INPP5F,1046230,A_23_P35684,22632,inositol polyphosphate-5-phosphatase F,22876.0,10
IP6K2,1030752,A_23_P301133,30928,inositol hexakisphosphate kinase 2,51447.0,3
IP6K2,1030753,A_23_P301138,30928,inositol hexakisphosphate kinase 2,51447.0,3
IP6K2,1030791,A_23_P6836,30928,inositol hexakisphosphate kinase 2,51447.0,3
IP6K2,1030792,CUST_13640_PI416261804,30928,inositol hexakisphosphate kinase 2,51447.0,3
